"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9254","0","198.6","105.3","-0.5","119"
"","Haryana","8243","0","163.9","112.2","-1.9","173"
"","Rajasthan","8117","0","178.6","61.2","0.6","394"
"","Delhi","5142","0","102.1","78.9","0.3","196"
"","UP","12136","2860","269.9","127.3","1.6","361"
"","Uttarakhand","1908","15","36.8","13.0","1.3","211"
"","HP","1130","73","25.0","1.4","0.3","122"
"","J&K","1894","474","34.6","19.6","0.5","173"
"","Chandigarh","304","0","5.9","5.8","0.3","30"
"WR","Chhattisgarh","3226","96","76.6","22.2","2.0","277"
"","Gujarat","12731","0","279.7","74.6","-5.0","455"
"","MP","6633","0","145.2","88.6","-2.4","69"
"","Maharashtra","19247","65","419.2","111.3","3.7","473"
"","Goa","429","0","9.7","7.8","1.2","95"
"","DD","297","0","6.7","6.3","0.4","42"
"","DNH","723","0","16.2","16.6","-0.4","58"
"","Essar steel","447","0","8.9","9.1","-0.2","113"
"SR","Andhra Pradesh","6646","0","152.9","26.6","3.3","541"
"","Telangana","6225","0","140.5","95.6","-2.1","302"
"","Karnataka","8064","1000","180.9","27.8","4.8","888"
"","Kerala","3233","0","61.5","33.0","1.8","380"
"","Tamil Nadu","13623","0","302.8","87.7","0.0","455"
"","Pondy","326","0","7.3","7.0","0.3","36"
"ER","Bihar","2747","150","57.8","56.3","-0.7","270"
"","DVC","2644","0","57.2","-15.2","-0.4","420"
"","Jharkhand","1017","0","20.9","12.1","-1.7","170"
"","Odisha","3521","0","70.7","18.3","0.1","450"
"","West Bengal","7306","0","143.5","53.5","-1.0","440"
"","Sikkim","86","0","1.1","0.9","0.2","28"
"NER","Arunachal Pradesh","92","9","1.2","2.0","-0.8","21"
"","Assam","1250","158","25.2","19.6","1.7","198"
"","Manipur","128","1","2.0","2.3","-0.3","37"
"","Meghalaya","282","5","4.2","1.2","-0.3","39"
"","Mizoram","69","5","1.0","1.0","0.0","18"
"","Nagaland","123","2","1.2","1.7","-0.6","40"
"","Tripura","211","0","3.3","1.5","-0.1","59"
