"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5609","0","113.0","74.0","-1.2","127","0.0"
"","Haryana","6063","0","123.0","89.0","0.1","287","0.0"
"","Rajasthan","13961","0","246.2","62.9","-2.7","260","0.0"
"","Delhi","3599","0","63.8","47.9","-0.4","177","0.0"
"","UP","13625","0","274.9","114.8","0.4","962","0.0"
"","Uttarakhand","1936","0","36.0","16.7","0.7","132","0.0"
"","HP","1668","0","28.8","22.1","-0.5","167","0.0"
"","J&K(UT) and Ladakh(UT)","2324","581","49.0","43.0","-0.2","229","11.5"
"","Chandigarh","211","0","3.5","3.4","0.0","14","0.0"
"WR","Chhattisgarh","3781","0","81.9","37.1","-2.3","732","0.0"
"","Gujarat","16452","0","362.0","101.3","3.5","566","0.0"
"","MP","13492","0","252.9","129.3","-3.4","279","0.0"
"","Maharashtra","23737","0","492.9","143.1","-0.7","393","0.0"
"","Goa","516","0","11.1","10.8","-0.2","35","0.0"
"","DD","329","0","7.4","6.9","0.5","36","0.0"
"","DNH","811","0","18.5","19.1","-0.6","41","0.0"
"","Essar steel","719","0","4.0","4.8","-0.8","222","0.0"
"SR","Andhra Pradesh","9778","0","200.7","76.2","0.1","528","0.0"
"","Telangana","13168","0","254.0","135.9","0.9","730","0.0"
"","Karnataka","12876","0","253.3","78.4","-0.7","493","0.0"
"","Kerala","3856","0","80.5","63.1","1.6","214","0.0"
"","Tamil Nadu","15128","0","329.1","167.2","0.6","676","0.0"
"","Pondy","371","0","7.8","8.1","-0.3","28","0.0"
"ER","Bihar","3847","0","69.8","68.2","-0.1","267","0.0"
"","DVC","3038","0","63.7","-32.9","0.4","248","0.0"
"","Jharkhand","1300","0","23.8","16.2","-0.6","61","0.0"
"","Odisha","3661","0","69.5","2.1","0.2","197","0.0"
"","West Bengal","6381","0","119.9","29.5","-0.7","443","0.0"
"","Sikkim","122","0","1.6","1.8","-0.2","38","0.0"
"NER","Arunachal Pradesh","120","1","2.1","2.0","-0.1","61","0.0"
"","Assam","1347","0","22.7","18.7","0.0","87","1.0"
"","Manipur","196","1","2.6","2.8","-0.2","37","0.0"
"","Meghalaya","333","0","5.8","4.5","0.0","40","0.2"
"","Mizoram","98","2","1.7","1.5","0.0","19","0.0"
"","Nagaland","137","1","2.2","2.0","0.1","38","0.0"
"","Tripura","219","1","3.5","1.7","-0.1","45","0.0"
