"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4742","0","101.2","52.5","-1.1","33"
"","Haryana","5343","262","94.7","65.5","-1.3","314"
"","Rajasthan","7306","0","161.1","48.4","-2.4","84"
"","Delhi","3363","0","67.5","55.8","-1.1","244"
"","UP","11103","1880","242.7","110.3","-3.6","213"
"","Uttarakhand","1498","75","31.5","21.2","1.0","144"
"","HP","1224","0","24.3","12.3","0.6","90"
"","J&K","1542","100","30.9","20.3","-2.2","17"
"","Chandigarh","185","0","3.5","3.3","0.1","27"
"WR","Chhattisgarh","3332","76","76.4","22.9","-4.0","212"
"","Gujarat","12540","80","277.3","52.5","-2.7","323"
"","MP","7131","55","153.9","81.1","-1.9","377"
"","Maharashtra","18290","165","398.6","126.9","1.6","333"
"","Goa","364","3","7.5","7.7","-0.9","55"
"","DD","275","2","6.2","6.3","-0.1","8"
"","DNH","640","5","14.9","14.9","0.0","23"
"","Essar steel","532","4","11.3","12.2","-0.9","15"
"SR","Andhra Pradesh","11586","2000","263.6","90.1","1.9","319"
"","Karnataka","8761","550","191.6","36.3","0.4","298"
"","Kerala","3350","75","63.4","30.6","1.4","213"
"","Tamil Nadu","12098","738","274.0","99.0","1.7","261"
"","Pondy","341","0","7.3","7.5","-0.2","34"
"ER","Bihar","2543","0","49.1","49.1","-0.8","200"
"","DVC","2472","200","55.5","-12.4","0.4","290"
"","Jharkhand","960","0","21.0","10.5","0.0","150"
"","Odisha","3397","0","73.2","18.0","-0.5","270"
"","West Bengal","6820","76","149.5","46.5","1.1","280"
"","Sikkim","79","0","0.8","1.5","-0.6","18"
"NER","Arunachal Pradesh","93","7","1.5","0.9","0.6","46"
"","Assam","1020","226","18.2","11.8","2.4","170"
"","Manipur","112","3","1.6","1.3","0.3","37"
"","Meghalaya","265","13","4.4","3.1","0.4","63"
"","Mizoram","71","4","1.1","0.9","-0.1","20"
"","Nagaland","96","2","1.6","1.4","-0.1","33"
"","Tripura","229","1","2.8","0.6","-0.2","108"
