"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4778","0","91.0","41.2","0.6","167"
"","Haryana","5110","0","98.3","58.6","-1.1","262"
"","Rajasthan","9277","0","186.5","78.7","-3.4","72"
"","Delhi","3370","0","56.6","41.1","-2.9","218"
"","UP","9371","1220","206.5","85.6","-0.7","283"
"","Uttarakhand","1653","0","31.3","22.8","0.1","142"
"","HP","1243","0","22.7","16.9","0.5","177"
"","J&K","1864","100","39.9","33.5","0.5","176"
"","Chandigarh","186","0","3.1","3.3","-0.2","20"
"WR","Chhattisgarh","2772","23","61.4","14.6","-2.7","96"
"","Gujarat","10709","58","233.8","43.4","0.0","570"
"","MP","7162","0","141.4","63.4","-0.7","343"
"","Maharashtra","17126","85","365.8","112.3","4.7","672"
"","Goa","366","0","7.2","6.6","-0.3","14"
"","DD","236","0","5.8","5.4","0.4","36"
"","DNH","598","0","14.1","14.4","-0.3","24"
"","Essar steel","480","0","10.0","10.1","-0.1","37"
"SR","Andhra Pradesh","11658","300","265.9","86.0","8.3","557"
"","Karnataka","8723","300","187.9","22.2","2.0","320"
"","Kerala","3182","150","58.4","24.8","2.1","359"
"","Tamil Nadu","11016","659","249.8","83.0","1.3","394"
"","Pondy","274","0","5.4","5.7","-0.2","63"
"ER","Bihar","2136","0","40.2","37.4","0.3","160"
"","DVC","2548","0","57.3","-19.6","-1.3","220"
"","Jharkhand","1027","0","20.1","10.9","-0.5","110"
"","Odisha","3595","0","65.1","8.3","2.1","330"
"","West Bengal","5900","0","104.0","17.6","5.5","380"
"","Sikkim","90","0","1.4","1.3","0.2","20"
"NER","Arunachal Pradesh","109","6","1.6","1.4","0.2","32"
"","Assam","1010","129","18.6","12.8","1.1","174"
"","Manipur","111","3","1.6","1.6","0.0","33"
"","Meghalaya","261","19","4.5","3.4","0.2","36"
"","Mizoram","75","1","1.1","0.9","0.0","25"
"","Nagaland","99","3","1.5","1.6","-0.4","22"
"","Tripura","199","1","2.8","0.1","0.1","23"
