"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5216","0","100.2","48.4","-2.0","68","0.0"
"","Haryana","5791","0","109.1","94.7","0.1","189","0.0"
"","Rajasthan","11469","0","210.4","57.9","-0.3","358","0.0"
"","Delhi","3420","0","60.8","51.0","-1.1","183","0.0"
"","UP","13507","0","240.5","94.7","1.0","1026","0.9"
"","Uttarakhand","1751","0","33.0","19.6","0.0","124","0.0"
"","HP","1625","0","28.3","20.6","-0.3","77","0.0"
"","J&K","2305","576","44.3","37.0","-0.3","201","12.8"
"","Chandigarh","208","0","3.4","3.4","0.0","19","0.0"
"WR","Chhattisgarh","3414","0","71.7","20.1","-0.7","170","0.0"
"","Gujarat","15753","0","330.3","80.7","0.1","1175","0.0"
"","MP","13088","0","248.2","139.8","-3.8","419","0.0"
"","Maharashtra","21226","0","437.4","137.9","-2.5","658","0.0"
"","Goa","541","0","12.4","12.3","-0.5","48","0.0"
"","DD","317","0","6.8","6.3","0.5","46","0.0"
"","DNH","787","0","18.2","18.3","-0.1","44","0.0"
"","Essar steel","376","0","5.8","5.6","0.3","295","0.0"
"SR","Andhra Pradesh","7195","0","151.6","75.0","-0.6","284","0.0"
"","Telangana","7933","0","157.3","70.0","0.5","516","0.0"
"","Karnataka","8967","0","167.4","38.4","-1.7","472","0.0"
"","Kerala","3409","0","70.0","51.5","1.1","200","0.0"
"","Tamil Nadu","11671","0","230.6","142.3","0.0","1077","0.0"
"","Pondy","356","0","6.4","7.1","-0.6","40","0.0"
"ER","Bihar","3965","0","65.3","65.7","-1.5","75","0.0"
"","DVC","2954","0","58.0","-29.0","0.7","290","0.0"
"","Jharkhand","1128","0","23.7","16.1","-0.8","31","0.0"
"","Odisha","4508","0","85.4","19.1","0.6","210","0.0"
"","West Bengal","6265","0","108.5","25.5","2.9","410","0.0"
"","Sikkim","103","0","1.5","1.5","0.0","30","0.0"
"NER","Arunachal Pradesh","115","1","2.3","2.2","-0.1","54","0.0"
"","Assam","1342","23","23.4","16.5","1.8","128","0.5"
"","Manipur","200","0","2.4","2.7","-0.3","26","0.0"
"","Meghalaya","351","0","6.0","2.8","0.4","55","0.0"
"","Mizoram","98","1","1.6","1.4","-0.1","23","0.0"
"","Nagaland","118","2","2.2","2.1","-0.2","49","0.0"
"","Tripura","220","0","2.6","1.9","-1.3","37","0.0"
