"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4435","358","83.7","34.9","1.2","196"
"","Haryana","5608","0","101.8","52.0","0.1","390"
"","Rajasthan","9464","0","191.9","81.2","-0.3","314"
"","Delhi","3308","0","60.8","41.0","-2.8","283"
"","UP","9933","1390","224.2","89.4","-0.3","397"
"","Uttarakhand","1724","75","33.4","23.6","3.2","304"
"","HP","1374","12","25.9","20.8","1.0","155"
"","J&K","1797","100","34.1","31.8","-0.9","296"
"","Chandigarh","211","0","3.6","3.4","0.2","47"
"WR","Chhattisgarh","3145","24","70.0","17.4","-0.1","268"
"","Gujarat","11121","0","246.7","55.7","-7.3","387"
"","MP","8591","3","170.7","81.7","-3.1","606"
"","Maharashtra","18499","260","387.6","114.8","8.6","454"
"","Goa","412","0","8.1","7.3","0.2","30"
"","DD","257","0","6.2","5.7","0.5","25"
"","DNH","642","0","14.9","14.1","0.8","14"
"","Essar steel","402","0","9.0","8.3","0.6","36"
"SR","Andhra Pradesh","11547","1000","264.0","85.1","7.8","536"
"","Karnataka","8407","550","185.5","19.9","1.9","332"
"","Kerala","3380","150","61.8","28.9","2.1","173"
"","Tamil Nadu","11415","864","251.9","82.0","2.3","503"
"","Pondy","316","0","6.0","6.4","-0.4","29"
"ER","Bihar","2118","0","41.6","38.0","1.0","180"
"","DVC","2511","0","55.6","-15.7","-1.2","210"
"","Jharkhand","1062","0","20.4","11.1","-1.3","80"
"","Odisha","3418","0","63.4","12.2","-0.3","290"
"","West Bengal","6258","16","115.1","28.7","4.0","450"
"","Sikkim","100","0","1.1","1.3","-0.3","15"
"NER","Arunachal Pradesh","105","15","1.4","1.1","0.2","39"
"","Assam","1065","99","18.7","11.1","3.2","247"
"","Manipur","96","14","1.6","1.5","0.0","38"
"","Meghalaya","273","2","4.9","3.1","0.5","75"
"","Mizoram","72","3","1.1","0.9","-0.1","21"
"","Nagaland","88","10","1.6","1.5","-0.2","22"
"","Tripura","203","1","2.9","1.2","-1.0","31"
