"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3460","0","72.1","53.6","-0.3","94","0.0"
"","Haryana","3725","0","70.3","67.2","0.4","306","0.0"
"","Rajasthan","8212","0","149.0","49.4","-1.9","340","0.0"
"","Delhi","2239","0","43.5","34.1","-1.9","106","0.0"
"","UP","14512","0","241.2","101.4","0.5","865","0.0"
"","Uttarakhand","1087","0","18.9","4.8","0.4","166","0.0"
"","HP","900","0","13.3","1.3","-0.7","56","0.0"
"","J&K(UT) & Ladakh(UT)","2113","373","43.2","33.6","-0.5","424","10.1"
"","Chandigarh","138","0","2.2","2.2","0.0","19","0.0"
"WR","Chhattisgarh","3242","0","75.4","29.3","-1.5","181","0.0"
"","Gujarat","10411","0","229.7","70.8","3.0","732","0.0"
"","MP","8637","0","165.4","93.8","-2.0","369","0.0"
"","Maharashtra","17388","0","376.0","147.4","-0.7","955","0.0"
"","Goa","355","0","7.2","7.4","-0.2","25","0.0"
"","DD","68","0","1.5","1.5","0.0","12","0.0"
"","DNH","83","0","1.8","1.8","0.0","28","0.0"
"","Essar steel","168","0","0.6","0.5","0.1","126","0.0"
"SR","Andhra Pradesh","8424","0","165.2","86.6","-0.5","395","0.0"
"","Telangana","9230","0","194.0","103.8","-0.6","824","0.0"
"","Karnataka","11435","0","226.2","84.5","1.4","492","0.0"
"","Kerala","3787","0","71.4","52.6","1.0","183","0.0"
"","Tamil Nadu","11168","0","250.2","179.8","1.4","536","0.0"
"","Puducherry","218","0","4.3","4.5","-0.2","51","0.0"
"ER","Bihar","4218","0","76.1","76.1","-1.3","168","0.0"
"","DVC","1472","0","29.3","-22.9","-0.3","221","0.0"
"","Jharkhand","1289","0","24.0","14.5","0.4","81","0.0"
"","Odisha","3297","0","70.7","10.2","-0.2","169","0.0"
"","West Bengal","6791","0","136.8","36.0","1.4","328","0.0"
"","Sikkim","100","0","1.3","1.4","-0.1","23","0.0"
"NER","Arunachal Pradesh","108","7","1.4","1.3","0.0","34","0.0"
"","Assam","1297","71","19.5","16.6","0.1","81","0.9"
"","Manipur","175","6","2.3","2.2","0.2","37","0.0"
"","Meghalaya","245","4","3.6","3.5","-0.2","48","0.1"
"","Mizoram","89","4","1.5","1.2","0.0","16","0.0"
"","Nagaland","112","1","2.1","1.8","0.2","32","0.0"
"","Tripura","211","14","2.6","2.7","-1.0","69","0.5"
