"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3084","0","60.0","44.6","-0.1","171","0.0"
"","Haryana","3668","0","66.5","59.3","0.8","184","0.0"
"","Rajasthan","7394","0","131.8","47.8","-3.6","200","0.0"
"","Delhi","2241","0","41.8","32.2","-2.1","19","0.0"
"","UP","13385","0","220.4","106.0","-9.0","822","0.0"
"","Uttarakhand","1004","0","16.8","1.6","-0.9","118","0.0"
"","HP","825","0","12.7","1.2","-1.9","87","0.0"
"","J&K(UT) & Ladakh(UT)","2151","538","45.3","32.8","0.0","146","7.8"
"","Chandigarh","139","0","2.2","2.5","-0.2","20","0.0"
"WR","Chhattisgarh","3086","0","71.9","24.1","-2.8","166","0.0"
"","Gujarat","9379","0","203.5","73.3","1.4","476","0.0"
"","MP","7916","0","150.4","90.7","-2.5","500","0.0"
"","Maharashtra","16291","0","348.4","130.3","0.2","499","0.0"
"","Goa","350","0","6.9","6.9","0.0","29","0.0"
"","DD","60","0","1.3","1.2","0.1","13","0.0"
"","DNH","74","0","1.6","1.6","0.0","26","0.0"
"","Essar steel","227","0","1.1","0.9","0.2","120","0.0"
"SR","Andhra Pradesh","8244","0","160.4","75.9","-0.9","687","0.0"
"","Telangana","10036","0","206.5","117.8","1.5","1120","0.0"
"","Karnataka","10500","0","215.7","76.0","0.4","572","0.0"
"","Kerala","3569","0","67.8","51.8","1.1","193","0.0"
"","Tamil Nadu","10982","0","242.7","173.7","1.0","456","0.0"
"","Puducherry","208","0","4.0","4.5","-0.5","44","0.0"
"ER","Bihar","4050","0","65.3","68.7","-4.9","580","0.0"
"","DVC","1616","0","30.9","-21.4","-0.2","215","0.0"
"","Jharkhand","1263","0","21.9","13.3","0.0","110","0.0"
"","Odisha","3576","0","80.1","1.0","0.9","240","0.0"
"","West Bengal","6209","0","125.7","36.2","0.5","213","0.0"
"","Sikkim","86","0","1.1","1.3","-0.3","19","0.0"
"NER","Arunachal Pradesh","114","1","1.8","1.4","0.3","25","0.0"
"","Assam","1296","43","20.0","17.2","-0.3","62","0.4"
"","Manipur","178","2","2.4","2.1","0.3","32","0.0"
"","Meghalaya","246","0","3.4","3.0","-0.2","34","0.1"
"","Mizoram","92","0","1.6","1.3","0.1","17","0.0"
"","Nagaland","117","1","1.9","1.9","0.0","16","0.0"
"","Tripura","247","2","3.4","3.4","-0.4","56","0.0"
