"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10103","0","194.7","118.0","-2.2","213","0.0"
"","Haryana","8660","0","141.5","104.7","-8.8","311","0.0"
"","Rajasthan","7385","0","160.1","66.7","3.1","436","0.0"
"","Delhi","5900","0","113.0","94.1","-1.2","184","0.2"
"","UP","16868","530","369.4","182.6","0.0","497","0.0"
"","Uttarakhand","1719","0","37.8","10.4","-0.5","154","0.0"
"","HP","1208","0","26.1","0.0","2.4","153","0.0"
"","J&K","2004","501","38.9","14.5","-1.6","102","9.2"
"","Chandigarh","257","0","5.4","6.3","-0.9","0","0.0"
"WR","Chhattisgarh","3176","0","71.1","10.3","-0.6","165","0.0"
"","Gujarat","12252","0","272.5","82.3","1.8","562","0.0"
"","MP","6470","0","141.4","93.2","-0.9","341","0.0"
"","Maharashtra","16513","0","370.4","105.7","3.3","814","0.0"
"","Goa","411","0","8.2","8.4","-0.8","23","0.0"
"","DD","294","0","6.6","6.5","0.1","36","0.0"
"","DNH","726","0","16.6","16.9","-0.3","14","0.0"
"","Essar steel","468","0","9.5","8.7","0.8","164","0.0"
"SR","Andhra Pradesh","6540","0","142.3","27.6","5.0","706","0.0"
"","Telangana","5982","0","129.0","58.1","-2.4","619","0.0"
"","Karnataka","7433","0","155.4","56.8","2.0","533","0.0"
"","Kerala","3267","0","59.4","44.6","0.9","242","0.0"
"","Tamil Nadu","13975","0","300.1","117.4","0.3","698","0.0"
"","Pondy","357","0","7.4","7.8","-0.3","36","0.0"
"ER","Bihar","3988","0","80.9","80.1","-0.9","200","0.0"
"","DVC","2940","0","66.3","-25.6","0.5","200","0.0"
"","Jharkhand","1026","0","22.8","19.8","1.1","210","0.0"
"","Odisha","3600","0","72.4","16.1","-0.2","200","0.0"
"","West Bengal","7844","0","151.6","41.5","2.1","400","0.0"
"","Sikkim","67","0","1.0","1.2","-0.2","5","0.0"
"NER","Arunachal Pradesh","78","2","2.1","2.9","-0.8","6","0.0"
"","Assam","1580","107","30.3","22.8","2.5","186","1.0"
"","Manipur","128","7","2.1","2.3","-0.2","7","0.1"
"","Meghalaya","265","0","5.3","0.3","-0.4","138","0.0"
"","Mizoram","63","2","1.5","1.2","0.2","18","0.0"
"","Nagaland","98","4","2.4","2.3","0.0","26","0.0"
"","Tripura","268","0","4.5","3.0","-0.3","103","0.0"
