"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4218","0","79.0","42.1","-0.3","192"
"","Haryana","5578","0","97.5","57.3","0.1","160"
"","Rajasthan","9401","0","195.1","65.6","3.1","469"
"","Delhi","2848","0","53.3","40.1","-0.1","148"
"","UP","14503","0","268.8","123.5","-3.5","309"
"","Uttarakhand","1460","40","28.2","19.3","0.6","192"
"","HP","986","0","17.6","10.5","0.9","159"
"","J&K","1891","473","40.2","30.5","-0.3","214"
"","Chandigarh","162","0","3.0","3.4","0.3","11"
"WR","Chhattisgarh","2845","96","65.2","16.0","0.2","109"
"","Gujarat","10315","0","225.9","44.5","0.2","408"
"","MP","9411","0","208.0","137.4","-1.8","210"
"","Maharashtra","16711","140","362.0","89.4","-2.4","620"
"","Goa","366","0","7.5","7.0","0.2","60"
"","DD","224","0","3.3","3.4","-0.1","8"
"","DNH","641","0","10.9","11.1","-0.2","19"
"","Essar steel","566","0","8.6","7.7","1.0","76"
"SR","Andhra Pradesh","5023","0","113.6","13.3","1.0","424"
"","Telangana","5830","0","123.5","77.1","-2.1","415"
"","Karnataka","7205","1000","152.7","29.7","1.3","679"
"","Kerala","3333","0","60.4","43.8","2.4","295"
"","Tamil Nadu","9119","0","170.1","82.9","2.2","440"
"","Pondy","224","0","4.1","4.4","-0.3","45"
"ER","Bihar","3183","150","66.0","65.0","1.0","280"
"","DVC","2439","0","58.2","-7.5","0.4","298"
"","Jharkhand","1038","0","24.3","12.4","-0.6","125"
"","Odisha","3483","0","62.4","19.5","1.0","345"
"","West Bengal","6795","0","119.1","27.8","1.1","386"
"","Sikkim","68","0","1.5","1.0","0.5","22"
"NER","Arunachal Pradesh","109","3","2.0","1.7","0.3","42"
"","Assam","1342","7","22.6","15.5","1.9","204"
"","Manipur","133","1","2.5","2.4","0.1","19"
"","Meghalaya","298","2","4.5","4.3","-1.0","63"
"","Mizoram","81","1","1.4","1.3","0.0","16"
"","Nagaland","116","2","1.8","1.6","0.1","57"
"","Tripura","228","1","3.6","1.1","0.4","59"
