"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5432","0","104.5","35.1","0.8","187","0.0"
"","Haryana","6727","113","125.9","61.8","2.0","491","0.2"
"","Rajasthan","10937","0","206.1","74.8","2.1","292","0.0"
"","Delhi","3940","0","66.8","54.0","-0.7","196","0.0"
"","UP","14302","100","295.4","92.9","-0.2","750","0.0"
"","Uttarakhand","1972","0","36.1","24.6","-0.1","115","0.0"
"","HP","1538","0","27.8","21.5","0.5","157","0.0"
"","J&K","2123","531","43.6","40.9","-2.3","68","10.3"
"","Chandigarh","213","0","3.5","3.6","-0.1","12","0.0"
"WR","Chhattisgarh","3315","0","73.5","3.1","0.5","150","0.0"
"","Gujarat","15214","0","308.3","68.1","2.2","580","0.0"
"","MP","9346","0","230.2","149.8","-3.8","348","0.0"
"","Maharashtra","20082","0","410.0","119.1","-0.6","442","0.0"
"","Goa","414","0","9.2","8.4","0.2","53","0.0"
"","DD","317","0","7.1","6.3","0.8","61","0.0"
"","DNH","738","0","17.2","16.5","0.7","69","0.0"
"","Essar steel","540","0","10.5","9.6","0.9","198","0.0"
"SR","Andhra Pradesh","7920","0","161.5","61.7","0.4","465","0.2"
"","Telangana","8484","0","166.1","76.2","-1.9","333","0.2"
"","Karnataka","10100","0","206.1","83.5","3.3","544","0.3"
"","Kerala","3519","0","67.9","49.0","1.0","531","0.1"
"","Tamil Nadu","13677","0","285.0","136.8","4.5","394","0.5"
"","Pondy","336","0","6.6","7.0","-0.4","51","0.0"
"ER","Bihar","3557","100","66.8","59.0","2.4","100","0.3"
"","DVC","2896","0","68.1","-37.8","-2.0","50","0.0"
"","Jharkhand","1092","0","24.7","13.7","0.8","40","0.0"
"","Odisha","3702","0","65.4","27.2","1.9","450","0.0"
"","West Bengal","6179","0","100.8","18.6","0.4","560","0.0"
"","Sikkim","98","0","1.6","1.5","0.1","20","0.0"
"NER","Arunachal Pradesh","127","3","1.9","1.8","0.1","23","0.0"
"","Assam","1435","34","22.3","17.1","2.1","141","0.2"
"","Manipur","168","4","2.6","2.7","0.0","28","0.0"
"","Meghalaya","300","7","6.6","3.4","0.0","47","0.0"
"","Mizoram","89","2","1.6","1.1","0.1","2","0.0"
"","Nagaland","120","3","2.3","1.8","0.1","31","0.0"
"","Tripura","218","1","4.6","1.3","1.1","37","0.0"
