"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3965","0","74.7","57.8","-1.7","126","0.0"
"","Haryana","4583","0","92.0","68.7","1.0","203","0.0"
"","Rajasthan","9610","0","171.9","51.7","2.9","691","0.0"
"","Delhi","2448","0","48.7","32.7","-2.4","60","0.0"
"","UP","14232","0","247.4","113.3","0.7","744","0.0"
"","Uttarakhand","1212","0","21.7","9.8","-1.6","30","0.0"
"","HP","1305","0","20.5","11.8","-1.9","178","0.0"
"","J&K(UT) & Ladakh(UT)","2240","560","44.7","37.3","-0.8","252","10.5"
"","Chandigarh","157","0","2.4","2.9","-0.5","3","0.0"
"WR","Chhattisgarh","3485","0","86.4","33.8","-1.3","183","0.0"
"","Gujarat","13513","0","291.0","66.6","5.3","608","0.0"
"","MP","9595","0","183.4","111.7","-1.4","438","0.0"
"","Maharashtra","19288","0","403.6","118.9","-0.4","608","0.0"
"","Goa","355","0","6.9","6.9","-0.1","36","0.0"
"","DD","277","0","5.2","4.9","0.3","38","0.0"
"","DNH","702","0","15.0","15.1","-0.1","54","0.0"
"","Essar steel","806","0","4.3","4.1","0.2","269","0.0"
"SR","Andhra Pradesh","9317","0","181.4","88.3","0.0","583","0.0"
"","Telangana","11204","0","224.9","127.7","-0.5","653","0.0"
"","Karnataka","12348","0","238.3","81.6","-0.7","418","0.0"
"","Kerala","3557","0","75.3","60.1","1.0","325","0.0"
"","Tamil Nadu","13642","0","302.6","190.5","0.8","379","0.0"
"","Puducherry","348","0","7.0","7.3","-0.4","43","0.0"
"ER","Bihar","3999","0","63.0","65.1","-3.6","356","0.0"
"","DVC","2742","0","53.3","-35.8","0.1","390","0.0"
"","Jharkhand","1266","0","23.2","14.0","0.1","136","0.0"
"","Odisha","4430","0","69.1","-1.9","0.2","268","0.0"
"","West Bengal","5798","0","114.7","34.8","-0.4","290","0.0"
"","Sikkim","113","0","1.4","1.7","-0.3","22","0.0"
"NER","Arunachal Pradesh","121","1","1.9","2.0","-0.2","24","0.0"
"","Assam","1296","41","21.5","17.4","0.3","110","1.0"
"","Manipur","189","1","2.7","2.5","0.2","14","0.0"
"","Meghalaya","378","0","5.8","4.0","0.4","68","0.1"
"","Mizoram","106","1","1.8","1.4","0.2","21","0.0"
"","Nagaland","128","1","2.1","1.9","0.1","6","0.0"
"","Tripura","229","0","3.5","2.5","-0.2","20","0.0"
