"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5829","0","124.7","35.3","-0.2","95","0.0"
"","Haryana","6480","0","125.3","56.8","4.0","335","0.0"
"","Rajasthan","11974","0","231.9","69.9","2.7","632","0.0"
"","Delhi","3457","0","62.0","47.0","-0.2","227","0.0"
"","UP","13044","0","257.7","98.9","-0.1","288","1.5"
"","Uttarakhand","1946","0","36.1","25.7","-0.5","138","0.0"
"","HP","1524","0","28.3","21.0","0.4","161","0.2"
"","J&K","2277","569","46.7","41.0","0.4","171","11.0"
"","Chandigarh","201","0","3.4","3.0","0.3","40","0.0"
"WR","Chhattisgarh","3574","0","75.7","13.8","-1.3","151","0.0"
"","Gujarat","15129","0","324.4","99.6","2.8","1115","0.0"
"","MP","13354","0","251.5","144.4","-1.5","482","0.0"
"","Maharashtra","21178","0","429.5","111.2","-1.5","481","0.0"
"","Goa","453","0","9.5","9.7","-0.6","82","0.0"
"","DD","316","0","6.8","6.1","0.7","53","0.0"
"","DNH","755","0","17.3","16.0","1.3","115","0.0"
"","Essar steel","582","0","10.4","11.0","-0.6","321","0.0"
"SR","Andhra Pradesh","7992","0","173.5","62.2","1.9","498","0.0"
"","Telangana","7982","0","169.3","68.6","0.4","408","0.0"
"","Karnataka","10521","0","206.5","68.6","0.9","496","0.0"
"","Kerala","3729","0","71.5","57.0","1.2","220","0.0"
"","Tamil Nadu","13816","0","283.6","129.2","1.3","477","0.0"
"","Pondy","326","0","6.5","6.9","-0.4","28","0.0"
"ER","Bihar","3994","0","71.2","68.5","-0.5","460","0.0"
"","DVC","2909","0","63.9","-21.6","2.4","396","0.4"
"","Jharkhand","1065","0","23.1","15.5","0.7","169","0.5"
"","Odisha","3801","0","72.3","26.5","2.1","267","0.0"
"","West Bengal","6372","0","111.2","21.5","2.3","309","0.0"
"","Sikkim","100","0","1.5","1.6","-0.2","18","0.0"
"NER","Arunachal Pradesh","125","2","2.2","1.7","0.5","80","0.0"
"","Assam","1401","29","22.7","17.4","0.8","89","0.4"
"","Manipur","172","2","2.8","2.8","0.0","29","0.0"
"","Meghalaya","372","0","6.4","5.2","-0.2","-","0.3"
"","Mizoram","96","3","1.6","1.0","0.4","10","0.0"
"","Nagaland","138","2","2.3","1.7","0.5","30","0.0"
"","Tripura","229","1","3.3","1.4","0.0","33","0.0"
