"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6073","0","133.3","47.8","0.4","136","0.0"
"","Haryana","6550","0","130.7","59.8","4.9","330","0.0"
"","Rajasthan","11646","0","217.2","63.1","-0.2","248","0.0"
"","Delhi","3594","0","63.5","47.4","0.4","225","0.0"
"","UP","12576","0","260.9","106.6","0.1","321","2.7"
"","Uttarakhand","2014","0","37.5","25.9","0.7","128","0.0"
"","HP","1553","0","28.0","20.4","0.0","182","1.0"
"","J&K","2530","633","50.0","42.4","1.1","463","11.7"
"","Chandigarh","202","0","3.3","3.0","0.4","45","0.0"
"WR","Chhattisgarh","3609","0","77.6","11.9","-0.5","615","0.0"
"","Gujarat","15082","0","330.5","115.5","2.8","462","0.0"
"","MP","13556","0","258.4","143.7","-3.2","238","0.0"
"","Maharashtra","21655","0","440.9","121.9","-2.4","425","0.0"
"","Goa","499","0","11.0","10.2","0.2","89","0.0"
"","DD","319","0","7.1","6.3","0.7","76","0.0"
"","DNH","737","0","17.1","16.5","0.6","67","0.0"
"","Essar steel","472","0","8.7","8.4","0.3","271","0.0"
"SR","Andhra Pradesh","7873","0","171.6","62.8","0.9","433","0.0"
"","Telangana","6944","0","150.9","44.1","0.3","448","0.0"
"","Karnataka","11053","0","209.6","71.2","0.7","429","0.0"
"","Kerala","3748","0","73.2","57.8","1.5","218","0.0"
"","Tamil Nadu","13759","0","284.1","129.0","2.6","771","0.0"
"","Pondy","331","0","6.8","7.0","-0.2","22","0.0"
"ER","Bihar","3969","0","72.7","68.9","0.8","460","0.0"
"","DVC","2901","0","61.2","-20.0","-0.5","396","0.0"
"","Jharkhand","1073","137","24.9","14.0","0.4","169","0.4"
"","Odisha","3775","0","69.9","26.7","2.4","267","0.0"
"","West Bengal","6453","0","112.8","24.4","1.0","309","0.0"
"","Sikkim","100","0","1.5","1.7","-0.2","18","0.0"
"NER","Arunachal Pradesh","102","8","1.9","1.9","0.0","52","0.0"
"","Assam","1405","32","22.1","18.4","-0.5","82","0.4"
"","Manipur","179","4","2.1","2.8","-0.6","36","0.0"
"","Meghalaya","364","12","6.5","5.3","0.0","17","0.2"
"","Mizoram","93","8","1.4","1.0","-0.1","7","0.0"
"","Nagaland","131","4","2.0","1.8","0.0","33","0.0"
"","Tripura","226","5","3.3","1.5","-0.4","21","0.0"
