"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4659","0","92.2","42.7","0.5","149"
"","Haryana","5294","0","94.6","61.4","-2.3","135"
"","Rajasthan","7863","0","166.3","65.3","1.4","246"
"","Delhi","3069","0","60.8","48.1","-3.3","134"
"","UP","10872","2353","236.1","109.6","-1.5","298"
"","Uttarakhand","1551","0","30.9","21.2","0.5","223"
"","HP","1268","0","23.4","13.2","-0.1","49"
"","J&K","1645","100","33.4","24.7","-3.2","20"
"","Chandigarh","173","0","3.3","3.3","0.0","9"
"WR","Chhattisgarh","3332","100","80.2","24.4","0.0","483"
"","Gujarat","11923","0","263.2","60.4","-2.7","493"
"","MP","6869","0","149.1","74.5","-0.4","281"
"","Maharashtra","18059","53","394.6","129.0","-0.3","645"
"","Goa","351","40","8.3","7.6","0.0","71"
"","DD","248","0","5.9","5.7","0.1","9"
"","DNH","602","0","13.5","13.5","0.0","23"
"","Essar steel","579","0","12.7","12.5","0.2","65"
"SR","Andhra Pradesh","12632","800","281.6","97.1","5.1","409"
"","Karnataka","8630","400","194.8","26.1","1.1","316"
"","Kerala","3556","75","68.7","26.3","1.1","317"
"","Tamil Nadu","12263","743","271.6","91.4","5.6","510"
"","Pondy","307","0","6.2","6.4","-0.2","26"
"ER","Bihar","1993","500","38.3","36.2","-0.2","100"
"","DVC","2389","45","56.7","-6.2","0.0","40"
"","Jharkhand","819","0","19.7","9.8","-1.4","80"
"","Odisha","3935","0","79.2","25.6","-2.9","480"
"","West Bengal","7075","55","140.7","43.0","-0.3","450"
"","Sikkim","92","0","0.9","1.6","-0.7","20"
"NER","Arunachal Pradesh","109","1","1.5","1.8","-0.3","26"
"","Assam","1050","147","20.3","13.5","1.7","137"
"","Manipur","110","5","1.5","1.9","-0.3","10"
"","Meghalaya","230","5","3.4","3.1","-0.3","66"
"","Mizoram","81","2","1.1","1.2","-0.3","13"
"","Nagaland","99","1","1.6","1.7","-0.4","20"
"","Tripura","245","1","3.2","1.3","-0.4","55"
