"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4871","0","97.8","53.7","0.4","163"
"","Haryana","6056","8","100.5","63.6","0.1","424"
"","Rajasthan","8981","0","191.4","48.6","0.9","337"
"","Delhi","3276","80","60.0","44.5","0.0","300"
"","UP","9629","2190","227.3","94.4","-1.5","411"
"","Uttarakhand","1589","150","30.1","19.2","1.6","205"
"","HP","1280","6","23.5","14.8","0.8","181"
"","J&K","1877","0","26.6","24.6","2.0","204"
"","Chandigarh","191","0","3.5","3.3","0.2","43"
"WR","Chhattisgarh","2946","18","62.9","9.8","-1.8","358"
"","Gujarat","11533","4","260.0","48.0","-0.6","410"
"","MP","8541","0","189.1","108.6","0.0","240"
"","Maharashtra","18361","260","389.1","132.1","-1.6","380"
"","Goa","432","0","8.3","8.4","-0.6","82"
"","DD","265","0","5.9","6.0","-0.1","6"
"","DNH","605","0","9.8","10.4","-0.6","106"
"","Essar steel","318","0","6.7","6.3","0.4","70"
"SR","Andhra Pradesh","5087","450","115.7","25.8","1.7","217"
"","Telangana","5762","500","127.3","63.5","5.2","294"
"","Karnataka","7261","300","137.2","20.1","0.8","324"
"","Kerala","2981","250","60.3","24.7","1.4","211"
"","Tamil Nadu","10244","800","227.6","70.0","2.3","708"
"","Pondy","289","25","5.9","5.9","0.0","38"
"ER","Bihar","2711","0","52.3","53.7","-3.4","240"
"","DVC","2614","70","57.7","-12.6","0.2","320"
"","Jharkhand","1072","0","22.2","11.3","-0.4","110"
"","Odisha","3594","0","71.3","20.3","2.4","270"
"","West Bengal","6844","0","120.3","22.3","2.0","210"
"","Sikkim","96","0","2.0","1.1","0.9","40"
"NER","Arunachal Pradesh","105","1","1.8","1.6","0.2","44"
"","Assam","1212","121","21.8","14.1","1.7","155"
"","Manipur","134","1","2.3","2.2","0.1","34"
"","Meghalaya","262","1","4.6","2.3","-0.2","40"
"","Mizoram","72","1","1.2","1.1","0.1","18"
"","Nagaland","105","1","1.9","1.4","0.0","34"
"","Tripura","190","5","2.8","0.9","-0.3","17"
