"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5555","0","106.7","33.1","-0.4","63","0.0"
"","Haryana","6658","0","127.3","78.7","1.3","233","0.0"
"","Rajasthan","11948","0","234.3","59.9","-1.6","216","0.0"
"","Delhi","4110","0","69.2","58.7","0.0","317","0.0"
"","UP","13402","140","270.0","112.7","0.1","368","1.7"
"","Uttarakhand","2159","0","39.6","26.1","-1.2","61","0.0"
"","HP","1663","0","29.8","24.6","-0.4","118","0.0"
"","J&K","2551","638","49.4","44.9","-1.1","319","11.8"
"","Chandigarh","227","0","3.6","3.6","0.0","27","0.0"
"WR","Chhattisgarh","3565","0","78.1","27.2","0.9","308","0.7"
"","Gujarat","15262","0","319.9","69.6","1.0","690","0.0"
"","MP","13153","0","238.5","125.9","-0.9","421","0.0"
"","Maharashtra","19855","0","403.5","111.2","0.5","498","0.0"
"","Goa","452","0","11.5","11.0","-0.1","48","0.0"
"","DD","317","0","7.1","6.9","0.2","44","0.0"
"","DNH","770","0","17.9","17.6","0.2","46","0.0"
"","Essar steel","517","0","10.1","10.1","0.0","272","0.0"
"SR","Andhra Pradesh","7845","0","160.8","65.1","0.6","571","0.0"
"","Telangana","8539","0","169.7","69.4","0.6","598","0.0"
"","Karnataka","11546","0","212.9","79.8","-0.6","605","0.0"
"","Kerala","3578","0","70.2","51.3","0.7","311","0.0"
"","Tamil Nadu","13953","0","294.6","148.4","-0.3","474","0.0"
"","Pondy","335","0","6.6","6.9","-0.3","48","0.0"
"ER","Bihar","4210","0","74.1","68.8","0.1","460","0.0"
"","DVC","2997","0","64.4","-45.6","0.3","396","0.0"
"","Jharkhand","1065","0","24.4","18.3","-0.5","169","0.0"
"","Odisha","3982","0","74.4","21.3","-0.2","267","0.0"
"","West Bengal","6820","0","127.1","30.2","0.2","309","0.0"
"","Sikkim","100","0","1.4","1.8","-0.4","18","0.0"
"NER","Arunachal Pradesh","123","6","2.2","2.8","-0.6","16","0.0"
"","Assam","1433","23","23.9","18.2","1.3","162","0.2"
"","Manipur","195","4","2.8","2.7","0.1","30","0.0"
"","Meghalaya","371","0","6.2","4.7","-0.1","59","0.0"
"","Mizoram","112","7","1.9","1.5","0.2","30","0.0"
"","Nagaland","147","5","2.2","2.0","0.0","38","0.0"
"","Tripura","228","16","4.3","1.7","0.4","59","0.0"
