"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8656","0","184.2","108.5","-2.2","209"
"","Haryana","7561","27","138.5","109.7","-2.0","412"
"","Rajasthan","7168","0","152.9","57.8","-1.0","275"
"","Delhi","4292","0","91.2","72.2","-1.1","181"
"","UP","10793","2150","233.2","112.3","-3.6","569"
"","Uttarakhand","1416","75","31.4","14.1","-1.1","360"
"","HP","1150","0","24.0","2.9","0.2","68"
"","J&K","1911","478","34.4","19.2","-0.4","179"
"","Chandigarh","265","0","5.5","5.9","0.3","8"
"WR","Chhattisgarh","2833","0","67.3","22.2","1.4","283"
"","Gujarat","10003","0","207.8","28.0","0.6","453"
"","MP","5475","0","104.5","66.5","0.3","450"
"","Maharashtra","15793","35","348.1","69.3","4.1","626"
"","Goa","459","0","10.0","8.4","1.1","156"
"","DD","287","0","6.4","5.9","0.5","48"
"","DNH","691","0","16.0","15.3","0.6","80"
"","Essar steel","421","0","7.7","9.4","-1.8","-11"
"SR","Andhra Pradesh","6253","0","138.8","26.6","4.5","529"
"","Telangana","5313","0","116.6","85.8","-0.2","479"
"","Karnataka","7744","300","152.4","24.4","3.5","491"
"","Kerala","3257","125","59.4","33.0","2.2","393"
"","Tamil Nadu","13507","393","278.6","92.3","0.8","620"
"","Pondy","329","0","7.1","6.7","0.5","56"
"ER","Bihar","2881","150","56.9","59.8","-3.7","125"
"","DVC","2719","0","62.8","-18.6","2.0","200"
"","Jharkhand","1039","0","23.9","12.6","-0.7","100"
"","Odisha","3934","0","72.5","16.5","1.5","300"
"","West Bengal","7013","11","129.1","43.2","2.3","400"
"","Sikkim","93","0","1.3","1.2","0.1","25"
"NER","Arunachal Pradesh","108","2","1.2","1.8","-0.6","46"
"","Assam","1279","143","26.2","20.1","1.9","146"
"","Manipur","133","2","2.1","2.2","-0.1","20"
"","Meghalaya","295","5","4.7","0.5","-0.3","84"
"","Mizoram","73","1","1.2","1.1","0.0","12"
"","Nagaland","103","1","1.7","1.6","0.0","21"
"","Tripura","225","1","3.0","1.5","-0.4","46"
