"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5436","0","110.1","64.7","1.6","184"
"","Haryana","6401","0","113.3","92.2","0.5","208"
"","Rajasthan","8134","381","179.5","70.2","0.7","284"
"","Delhi","4100","0","83.7","70.1","-0.6","188"
"","UP","15696","25","309.7","124.8","1.5","704"
"","Uttarakhand","1731","0","34.4","18.3","-0.4","132"
"","HP","1306","0","24.9","10.6","1.7","168"
"","J&K","1907","477","39.5","25.3","-1.4","125"
"","Chandigarh","204","0","4.0","4.2","-0.2","19"
"WR","Chhattisgarh","3813","0","91.8","38.4","-0.6","119"
"","Gujarat","15002","0","332.6","74.6","-0.2","407"
"","MP","8296","0","179.9","110.9","-1.6","442"
"","Maharashtra","22740","0","498.2","147.7","-1.1","528"
"","Goa","500","0","10.7","9.1","1.1","140"
"","DD","319","0","7.2","6.7","0.5","60"
"","DNH","742","0","16.9","16.2","0.7","67"
"","Essar steel","452","0","8.0","8.4","-0.4","149"
"SR","Andhra Pradesh","7420","0","166.3","32.0","2.8","603"
"","Telangana","8128","0","174.0","78.0","0.1","363"
"","Karnataka","9623","0","215.3","82.2","1.8","427"
"","Kerala","3793","0","77.2","54.4","1.9","319"
"","Tamil Nadu","14746","0","327.2","173.9","-0.7","803"
"","Pondy","354","0","7.9","8.1","-0.2","32"
"ER","Bihar","3611","0","66.7","63.5","1.0","250"
"","DVC","3011","0","64.8","-37.7","0.0","225"
"","Jharkhand","1132","0","24.6","17.0","1.3","125"
"","Odisha","4319","0","83.1","19.4","-0.2","250"
"","West Bengal","8605","0","162.1","55.2","1.0","250"
"","Sikkim","74","0","1.1","1.3","-0.2","15"
"NER","Arunachal Pradesh","95","3","2.1","1.8","0.3","36"
"","Assam","1414","0","24.0","17.3","3.3","192"
"","Manipur","152","1","2.1","1.7","0.4","25"
"","Meghalaya","284","0","4.7","2.5","-0.3","77"
"","Mizoram","83","1","1.3","1.1","0.2","23"
"","Nagaland","111","1","2.2","1.6","0.4","46"
"","Tripura","244","2","4.5","1.9","0.9","74"
