"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4620","0","82.0","26.2","0.3","265"
"","Haryana","5266","0","91.1","39.0","-1.9","240"
"","Rajasthan","8602","0","170.7","58.4","-4.4","104"
"","Delhi","3266","0","56.4","37.1","-1.5","128"
"","UP","9924","780","219.8","88.4","0.1","652"
"","Uttarakhand","1624","0","30.7","23.6","0.2","120"
"","HP","1156","0","21.0","16.1","0.4","162"
"","J&K","2305","100","41.9","34.4","1.8","489"
"","Chandigarh","198","0","3.2","2.9","0.4","46"
"WR","Chhattisgarh","2960","26","64.8","23.6","-0.3","347"
"","Gujarat","10126","0","222.7","42.7","3.6","454"
"","MP","6297","6","124.7","55.9","-1.7","185"
"","Maharashtra","15368","96","331.1","100.2","2.3","523"
"","Goa","341","0","6.7","6.8","-0.9","0"
"","DD","217","0","4.2","4.3","-0.2","0"
"","DNH","625","0","12.0","11.8","0.2","45"
"","Essar steel","279","0","5.6","5.6","0.0","35"
"SR","Andhra Pradesh","11917","0","267.6","96.4","5.4","391"
"","Karnataka","8414","500","173.2","17.9","1.1","600"
"","Kerala","2938","75","53.5","31.3","2.4","205"
"","Tamil Nadu","11210","676","234.1","94.0","-0.5","323"
"","Pondy","240","0","4.9","5.8","-0.9","6"
"ER","Bihar","2119","350","40.9","38.0","0.8","150"
"","DVC","2660","0","57.4","-14.9","-2.5","140"
"","Jharkhand","1156","37","20.5","11.9","1.5","80"
"","Odisha","3489","0","64.9","16.5","4.1","500"
"","West Bengal","5587","36","103.4","15.7","5.8","410"
"","Sikkim","70","0","1.1","1.3","-0.2","25"
"NER","Arunachal Pradesh","116","2","1.5","1.3","0.2","44"
"","Assam","950","164","18.4","12.0","1.7","171"
"","Manipur","122","5","1.6","1.6","0.0","40"
"","Meghalaya","294","5","5.2","3.5","0.6","63"
"","Mizoram","77","1","1.2","1.0","0.0","27"
"","Nagaland","99","2","1.6","1.4","-0.1","23"
"","Tripura","193","1","3.1","0.5","0.3","32"
