"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8373","0","180.2","111.5","-0.4","219","0.0"
"","Haryana","7472","0","162.3","114.9","3.3","402","0.0"
"","Rajasthan","8315","0","178.8","63.7","1.6","547","0.0"
"","Delhi","4923","0","104.1","80.4","-1.4","197","0.0"
"","UP","15497","1075","348.7","181.5","1.7","450","0.0"
"","Uttarakhand","1808","0","38.8","10.9","-0.3","106","0.0"
"","HP","1311","0","25.8","-0.4","0.6","120","0.0"
"","J&K","2051","513","40.3","13.8","0.4","192","9.6"
"","Chandigarh","298","0","5.5","6.0","-0.6","11","0.0"
"WR","Chhattisgarh","3706","0","84.9","24.4","0.4","271","0.0"
"","Gujarat","10696","0","240.5","44.7","-2.5","362","0.0"
"","MP","7771","0","162.0","93.8","0.9","579","0.0"
"","Maharashtra","17111","0","376.9","109.1","2.7","490","0.0"
"","Goa","436","0","9.0","8.7","0.1","60","0.0"
"","DD","304","0","6.9","6.2","0.6","41","0.0"
"","DNH","728","0","16.8","15.9","0.9","52","0.0"
"","Essar steel","144","0","1.9","2.1","-0.2","192","0.0"
"SR","Andhra Pradesh","7197","0","153","39","3.9","495","0.0"
"","Telangana","8166","0","174","85","-3.8","336","0.0"
"","Karnataka","8069","0","164","68","2.3","476","0.0"
"","Kerala","3501","0","68","46","2.2","417","0.0"
"","Tamil Nadu","13404","0","286","135","3.9","540","0.0"
"","Pondy","348","0","7","8","-0.5","50","0.0"
"ER","Bihar","4234","150","81.3","72.9","3.7","300","0.5"
"","DVC","2849","100","67.7","-30.4","3.4","410","0.3"
"","Jharkhand","1180","0","25.1","16.7","1.1","200","0.0"
"","Odisha","4159","150","76.6","23.9","1.4","500","0.5"
"","West Bengal","8023","0","153.2","58.9","3.8","500","0.0"
"","Sikkim","87","0","0.9","1.1","-0.2","5","0.0"
"NER","Arunachal Pradesh","114","4","2.4","2.1","0.3","45","0.0"
"","Assam","1635","128","31.5","24.0","2.5","237","1.2"
"","Manipur","143","6","2.2","2.2","0.0","31","0.0"
"","Meghalaya","288","0","4.4","-0.4","-0.8","76","0.0"
"","Mizoram","51","9","1.3","1.2","0.0","30","0.1"
"","Nagaland","104","4","1.9","1.7","0.0","28","0.0"
"","Tripura","237","1","4.3","3.2","0.8","99","0.1"
