"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5928","0","126.2","82.5","-0.8","211"
"","Haryana","6494","0","121.7","77.1","-0.7","252"
"","Rajasthan","8122","0","185.5","73.5","1.7","327"
"","Delhi","4417","0","89.0","66.5","-2.8","22"
"","UP","11841","2065","256.5","121.0","-2.6","235"
"","Uttarakhand","1800","0","34.5","16.2","1.2","192"
"","HP","1242","0","25.2","6.7","-0.9","79"
"","J&K","1717","343","35.2","20.7","0.1","280"
"","Chandigarh","242","0","4.8","5.0","0.3","6"
"WR","Chhattisgarh","3227","0","73.0","23.4","-1.0","196"
"","Gujarat","13285","0","292.4","66.3","2.1","374"
"","MP","7159","0","150.7","86.9","-1.1","202"
"","Maharashtra","18318","48","399.4","105.3","-0.2","384"
"","Goa","383","0","8.8","7.2","0.9","81"
"","DD","290","0","6.5","6.3","0.2","100"
"","DNH","702","0","16.2","16.6","0.5","40"
"","Essar steel","433","0","9.3","8.8","0.5","160"
"SR","Andhra Pradesh","6560","0","148.1","43.3","2.3","409"
"","Telangana","5473","0","125.9","73.1","0.4","220"
"","Karnataka","7765","300","163.8","30.5","2.3","504"
"","Kerala","3231","125","61.1","34.3","1.6","205"
"","Tamil Nadu","11059","923","246.2","94.3","-0.6","393"
"","Pondy","305","0","6.0","6.3","-0.3","27"
"ER","Bihar","2800","150","55.8","50.4","1.5","240"
"","DVC","2537","0","58.5","-21.0","0.8","210"
"","Jharkhand","945","0","22.3","12.1","1.6","170"
"","Odisha","3655","100","70.6","22.1","0.7","170"
"","West Bengal","7612","0","146.0","51.1","0.1","190"
"","Sikkim","126","0","1.2","1.5","-0.3","25"
"NER","Arunachal Pradesh","106","1","1.5","1.5","0.0","44"
"","Assam","1203","169","23.2","15.0","2.4","185"
"","Manipur","145","3","2.3","2.2","0.0","56"
"","Meghalaya","295","3","4.6","3.5","-0.3","29"
"","Mizoram","79","1","1.2","1.1","0.0","22"
"","Nagaland","104","2","2.0","1.7","0.3","21"
"","Tripura","245","2","3.2","1.4","-0.3","60"
