"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10849","0","246.1","142.6","-2.0","72","0.0"
"","Haryana","8944","0","195.9","160.7","-1.0","149","0.0"
"","Rajasthan","8975","0","197.6","64.3","-2.5","472","0.0"
"","Delhi","5749","0","111.8","97.3","1.2","260","0.0"
"","UP","20253","0","420.2","202.9","1.3","461","7.1"
"","Uttarakhand","1849","0","40.8","15.1","0.5","122","0.0"
"","HP","1390","0","28.0","-4.4","-0.6","69","0.0"
"","J&K","2523","631","43.2","19.2","4.6","927","10.3"
"","Chandigarh","269","0","5.4","6.0","-0.6","6","0.0"
"WR","Chhattisgarh","3875","0","91.6","26.6","0.2","305","0.0"
"","Gujarat","10856","0","242.5","46.6","3.6","922","0.0"
"","MP","8408","0","188.2","92.8","-2.9","328","0.0"
"","Maharashtra","16177","0","363.4","105.8","-0.5","509","0.0"
"","Goa","541","0","10.3","9.6","0.1","64","0.0"
"","DD","317","0","7.2","6.5","0.7","56","0.0"
"","DNH","767","0","18.2","18.3","-0.1","29","0.0"
"","Essar steel","214","0","3.9","4.0","-0.1","253","0.0"
"SR","Andhra Pradesh","8067","0","181.5","6.8","0.7","460","0.0"
"","Telangana","8966","0","189.4","73.7","1.0","657","0.0"
"","Karnataka","6972","0","141.4","12.6","-3.2","470","0.0"
"","Kerala","2753","0","47.9","31.3","0.8","274","-0.2"
"","Tamil Nadu","12463","0","277.9","121.3","-1.6","888","0.0"
"","Pondy","389","0","7.8","8.0","-0.2","35","0.0"
"ER","Bihar","5457","0","111.0","108.5","-2.2","50","0.0"
"","DVC","2814","0","59.6","-27.9","-1.3","170","0.0"
"","Jharkhand","1047","0","23.5","14.6","-0.7","100","0.0"
"","Odisha","4712","0","98.3","51.6","1.5","500","0.0"
"","West Bengal","8688","0","175.0","81.9","4.2","600","0.0"
"","Sikkim","73","0","0.7","1.2","-0.5","5","0.0"
"NER","Arunachal Pradesh","126","2","2.3","2.7","-0.4","90","0.0"
"","Assam","1801","86","36.5","32.0","0.6","166","0.8"
"","Manipur","171","1","2.6","2.5","0.1","39","0.0"
"","Meghalaya","338","0","5.5","1.8","-0.1","84","0.0"
"","Mizoram","87","3","2.0","1.5","0.2","19","0.0"
"","Nagaland","128","2","2.3","2.3","-0.3","44","0.0"
"","Tripura","299","4","5.8","4.8","-0.2","46","0.0"
