"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5233","0","104.7","61.1","1.6","255"
"","Haryana","5121","0","110.3","57.0","-0.4","251"
"","Rajasthan","7105","0","151.1","79.5","-4.8","41"
"","Delhi","3618","0","70.5","50.7","-0.3","185"
"","UP","8982","2230","206.4","79.8","-0.4","218"
"","Uttarakhand","1557","75","30.4","17.0","1.3","178"
"","HP","1185","0","22.5","11.8","0.6","149"
"","J&K","1575","100","29.5","22.6","-0.7","93"
"","Chandigarh","198","0","3.6","3.7","-0.1","25"
"WR","Chhattisgarh","2679","39","58.9","11.3","-2.4","64"
"","Gujarat","10517","103","233.7","40.7","-0.2","250"
"","MP","6986","51","139.8","85.3","-3.5","100"
"","Maharashtra","16643","497","360.7","115.5","-1.6","276"
"","Goa","400","3","7.5","7.4","-0.6","73"
"","DD","259","2","6.2","6.1","0.1","48"
"","DNH","642","5","15.1","14.9","0.2","14"
"","Essar steel","233","2","4.8","5.0","-0.1","51"
"SR","Andhra Pradesh","9874","0","219.6","69.9","3.3","334"
"","Karnataka","6960","300","138.1","22.1","-1.6","161"
"","Kerala","3196","100","57.8","28.6","1.4","283"
"","Tamil Nadu","10863","612","231.1","77.5","-1.4","198"
"","Pondy","311","0","6.0","6.3","-0.3","59"
"ER","Bihar","2273","150","41.5","41.3","0.2","110"
"","DVC","2529","150","53.5","-18.6","-1.4","80"
"","Jharkhand","976","0","19.5","13.6","-2.4","0"
"","Odisha","3104","0","59.5","8.6","0.0","95"
"","West Bengal","6221","8","111.3","28.0","5.6","320"
"","Sikkim","95","0","1.6","1.2","0.4","14"
"NER","Arunachal Pradesh","97","5","1.1","1.3","-0.2","66"
"","Assam","1185","67","22.1","13.4","3.2","218"
"","Manipur","98","3","1.2","1.7","-0.5","17"
"","Meghalaya","255","5","4.1","2.1","-0.2","57"
"","Mizoram","56","4","1.1","0.9","0.0","25"
"","Nagaland","92","3","1.3","1.1","-0.1","27"
"","Tripura","180","28","3.3","0.6","0.1","55"
