"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4318","0","102.8","38.6","0.1","438"
"","Haryana","5309","0","94.7","59.5","0.1","274"
"","Rajasthan","8036","0","170.4","62.9","-0.4","194"
"","Delhi","3138","23","61.5","46.0","-0.1","201"
"","UP","10671","1635","240.6","99.7","1.2","382"
"","Uttarakhand","1561","75","31.8","20.8","1.9","172"
"","HP","1306","0","24.6","14.3","-0.4","57"
"","J&K","1529","100","31.7","25.8","-3.4","0"
"","Chandigarh","176","0","3.3","3.3","0.0","176"
"WR","Chhattisgarh","3113","56","77.7","22.6","2.4","304"
"","Gujarat","11835","0","262.2","68.5","-3.3","416"
"","MP","6720","14","146.0","72.5","1.4","407"
"","Maharashtra","18498","193","404.6","128.0","5.3","526"
"","Goa","412","1","8.8","7.5","0.6","102"
"","DD","257","0","6.2","5.9","0.3","10"
"","DNH","574","1","12.8","13.6","-0.8","17"
"","Essar steel","535","1","11.9","12.5","-0.6","102"
"SR","Andhra Pradesh","12391","1000","281.2","94.5","4.3","395"
"","Karnataka","9168","400","203.4","27.4","0.9","374"
"","Kerala","3555","0","68.3","32.3","1.3","200"
"","Tamil Nadu","12650","778","285.2","99.4","-0.1","314"
"","Pondy","318","0","6.5","6.4","0.1","48"
"ER","Bihar","2145","0","42.5","38.9","1.2","100"
"","DVC","2489","0","58.4","-12.6","0.9","310"
"","Jharkhand","999","0","21.6","12.1","0.3","105"
"","Odisha","3855","0","80.6","16.1","1.8","150"
"","West Bengal","6841","0","128.5","30.9","3.9","270"
"","Sikkim","96","0","1.4","1.3","0.1","20"
"NER","Arunachal Pradesh","109","1","1.7","1.4","0.3","37"
"","Assam","1069","138","19.6","12.5","1.9","101"
"","Manipur","107","13","1.6","1.6","-0.1","27"
"","Meghalaya","261","9","3.8","3.3","-0.1","68"
"","Mizoram","74","1","1.1","1.0","-0.1","21"
"","Nagaland","98","2","1.7","1.6","-0.2","16"
"","Tripura","231","1","2.5","0.3","-0.1","57"
