"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6915","0","151.7","100.3","0.4","226","0.0"
"","Haryana","7146","0","149.4","103.0","-5.0","885","0.0"
"","Rajasthan","8824","0","192.5","63.9","5.8","1000","9.4"
"","Delhi","5383","0","107.4","89.4","-1.3","269","0.0"
"","UP","17242","1345","369.5","159.8","1.1","426","0.0"
"","Uttarakhand","1941","0","41.2","19.2","-0.1","116","0.0"
"","HP","1268","0","26.0","4.1","2.4","244","0.0"
"","J&K","1976","494","35.4","10.3","1.6","376","8.4"
"","Chandigarh","274","0","5.6","5.9","-0.4","34","0.0"
"WR","Chhattisgarh","3505","0","82.8","19.2","-1.4","149","0.0"
"","Gujarat","15002","0","331.7","97.6","1.1","334","0.0"
"","MP","8174","0","180.6","87.6","-1.6","385","0.0"
"","Maharashtra","21546","0","475.6","139.8","1.6","724","0.0"
"","Goa","466","0","10.8","9.4","0.9","71","0.0"
"","DD","320","0","7.2","6.8","0.4","54","0.0"
"","DNH","725","0","15.3","15.6","-0.3","18","0.0"
"","Essar steel","466","0","9.0","8.5","0.4","233","0.0"
"SR","Andhra Pradesh","7563","0","165.4","38.8","4.2","790","0.0"
"","Telangana","6923","0","149.7","59.6","-1.7","389","0.0"
"","Karnataka","8176","0","172.9","66.7","3.6","436","0.0"
"","Kerala","3256","0","70.7","55.0","1.0","286","0.0"
"","Tamil Nadu","13953","0","304.9","117.2","-2.0","853","0.0"
"","Pondy","359","0","7.8","7.9","-0.1","72","0.0"
"ER","Bihar","3950","0","80.5","75.3","3.2","120","0.0"
"","DVC","2786","0","68.2","-45.2","3.7","160","0.0"
"","Jharkhand","1231","0","23.6","18.3","-0.8","110","0.0"
"","Odisha","3965","0","81.8","27.3","2.5","250","0.0"
"","West Bengal","7704","0","146.7","43.2","1.2","210","0.0"
"","Sikkim","75","0","1.0","1.1","-0.1","20","0.0"
"NER","Arunachal Pradesh","91","2","1.7","1.7","0.1","23","0.0"
"","Assam","1511","105","25.6","19.9","2.1","202","1.0"
"","Manipur","134","1","2.4","2.0","0.3","11","0.0"
"","Meghalaya","261","0","4.3","2.6","0.2","14","0.0"
"","Mizoram","75","1","1.4","1.2","0.1","13","0.0"
"","Nagaland","104","1","2.1","1.9","0.0","0","0.0"
"","Tripura","250","7","4.0","2.6","0.6","25","0.1"
