"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5546","0","118.0","26.1","-0.5","140","0.0"
"","Haryana","6301","0","123.0","76.9","0.5","217","0.0"
"","Rajasthan","11259","0","229.0","54.9","1.5","348","0.0"
"","Delhi","3660","0","71.3","47.6","0.3","178","0.0"
"","UP","13436","0","283.9","108.0","1.8","282","0.0"
"","Uttarakhand","1817","0","35.7","23.2","1.6","261","0.0"
"","HP","1521","0","27.9","16.8","1.2","186","0.0"
"","J&K","1926","482","36.3","37.4","-8.3","210","8.6"
"","Chandigarh","178","0","3.3","3.4","0.0","28","0.0"
"WR","Chhattisgarh","4029","0","86.4","22.2","-1.4","250","0.0"
"","Gujarat","15673","0","345.5","115.3","7.1","610","0.0"
"","MP","12419","0","261.4","150.3","-1.2","616","0.0"
"","Maharashtra","22673","0","477.9","152.6","0.6","890","0.0"
"","Goa","468","0","9.7","9.1","0.1","70","0.0"
"","DD","319","0","7.2","6.1","1.0","100","0.0"
"","DNH","673","0","15.6","14.9","0.7","101","0.0"
"","Essar steel","532","0","11.1","11.2","-0.2","263","0.0"
"SR","Andhra Pradesh","8761","0","186.9","71.0","1.2","609","0.0"
"","Telangana","9452","0","205.3","91.6","4.2","840","0.0"
"","Karnataka","10005","0","206.2","49.2","2.2","558","0.0"
"","Kerala","3584","200","71.6","45.0","1.1","243","0.4"
"","Tamil Nadu","14336","0","297.8","150.5","0.1","465","0.0"
"","Pondy","320","0","6.7","6.9","-0.2","26","0.0"
"ER","Bihar","4641","0","80.9","79.2","-0.7","410","0.0"
"","DVC","2989","0","64.1","-33.0","-0.2","180","0.0"
"","Jharkhand","1050","164","24.2","16.1","0.9","110","0.5"
"","Odisha","4518","250","89.4","35.3","3.8","200","0.8"
"","West Bengal","7382","0","150.3","34.7","5.4","250","0.0"
"","Sikkim","91","0","1.2","1.7","-0.5","10","0.0"
"NER","Arunachal Pradesh","107","3","2.2","1.8","0.4","2","0.0"
"","Assam","1510","48","25.6","19.4","2.2","114","0.9"
"","Manipur","176","2","2.3","2.2","0.1","20","0.0"
"","Meghalaya","293","0","5.1","2.7","-0.1","37","0.0"
"","Mizoram","85","2","1.8","0.9","0.5","8","0.0"
"","Nagaland","116","3","2.1","1.8","0.0","10","0.0"
"","Tripura","240","1","4.0","1.8","0.6","128","0.1"
