"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3670","0","72.4","56.8","-1.5","84","0.0"
"","Haryana","3926","0","70.3","67.8","0.1","275","0.0"
"","Rajasthan","7941","0","150.1","56.4","-0.3","641","0.0"
"","Delhi","2193","0","46.1","37.3","-2.5","104","0.0"
"","UP","14601","0","248.0","107.0","0.0","971","0.0"
"","Uttarakhand","1080","0","19.5","5.5","0.4","99","0.0"
"","HP","857","0","13.3","1.3","-0.7","80","0.0"
"","J&K(UT) & Ladakh(UT)","2137","534","42.9","32.0","-0.2","176","10.2"
"","Chandigarh","125","0","2.3","2.4","-0.2","10","0.0"
"WR","Chhattisgarh","3070","0","72.4","23.8","-1.4","168","0.0"
"","Gujarat","10784","0","241.1","76.7","3.4","589","0.0"
"","MP","8771","0","168.2","98.9","-0.7","378","0.0"
"","Maharashtra","17285","0","378.2","174.3","0.2","2002","0.0"
"","Goa","353","0","7.2","7.3","-0.1","38","0.0"
"","DD","76","0","1.7","1.7","0.0","23","0.0"
"","DNH","87","0","2.0","1.9","0.1","228","0.0"
"","Essar steel","181","0","0.7","0.8","-0.1","119","0.0"
"SR","Andhra Pradesh","8095","0","155.6","89.5","0.3","677","0.0"
"","Telangana","8358","0","165.4","71.0","1.5","593","0.0"
"","Karnataka","9461","0","187.8","56.1","-0.3","518","0.0"
"","Kerala","3270","0","63.8","48.4","0.8","179","0.0"
"","Tamil Nadu","10518","0","237.5","170.4","0.2","474","0.0"
"","Puducherry","246","0","4.7","4.8","-0.1","52","0.0"
"ER","Bihar","4368","0","79.1","78.4","-0.5","220","0.0"
"","DVC","1460","0","28.2","-26.2","0.6","250","0.0"
"","Jharkhand","1010","0","20.5","12.4","-0.7","150","0.0"
"","Odisha","2859","0","63.8","3.2","0.2","200","0.0"
"","West Bengal","6736","0","136.4","39.5","0.0","250","0.0"
"","Sikkim","87","0","1.2","1.5","-0.3","5","0.0"
"NER","Arunachal Pradesh","100","1","2.1","1.4","0.7","21","0.0"
"","Assam","1292","22","20.1","17.3","-0.1","103","1.0"
"","Manipur","180","1","2.2","2.1","0.1","43","0.0"
"","Meghalaya","243","0","3.6","3.3","-0.2","28","0.1"
"","Mizoram","78","2","1.6","1.3","0.0","16","0.0"
"","Nagaland","122","1","2.1","2.0","0.0","24","0.0"
"","Tripura","243","0","4.5","3.6","0.1","36","0.0"
