"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9981","0","225.7","129.5","-0.3","197.0"
"","Haryana","8351","0","177.5","129.5","0.1","354.0"
"","Rajasthan","5562","0","118.2","55.0","0.6","253.0"
"","Delhi","4422","18","93.0","82.6","-2.1","86.0"
"","UP","12368","4070","287.1","142.6","0.1","390.0"
"","Uttarakhand","1879","0","40.5","15.8","0.7","198.0"
"","HP","1243","0","26.2","0.7","0.4","64.0"
"","J&K","1753","438","32.3","20.1","-1.2","153.0"
"","Chandigarh","323","0","6.3","6.6","0.3","4.0"
"WR","Chhattisgarh","3451","0","81.7","25.3","6.6","393.9"
"","Gujarat","8788","0","175.3","8.2","-3.7","408.6"
"","MP","6403","0","129.3","75.9","-1.8","123.4"
"","Maharashtra","16694","50","367.0","82.9","-3.6","668.0"
"","Goa","373","0","7.8","6.4","0.8","4.3"
"","DD","297","0","6.5","5.8","0.7","52.5"
"","DNH","662","0","15.3","15.2","0.1","186.7"
"","Essar steel","472","0","10.0","7.2","2.8","250.6"
"SR","Andhra Pradesh","6590","0","147.7","15.6","4.1","745.0"
"","Telangana","6391","0","147.4","94.8","2.6","301.0"
"","Karnataka","8305","500","181.9","19.1","3.2","513.0"
"","Kerala","3337","200","62.2","32.1","1.3","308.0"
"","Tamil Nadu","12693","0","275.8","90.7","0.5","360.0"
"","Pondy","312","25","6.4","6.2","0.1","59.0"
"ER","Bihar","3032","0","64.5","59.9","2.3","225.0"
"","DVC","2495","0","57.4","-17.6","-0.3","485.0"
"","Jharkhand","1051","0","20.5","13.9","-1.3","105.0"
"","Odisha","4140","0","70.9","17.4","-0.8","385.0"
"","West Bengal","6646","0","135.1","43.5","1.6","398.0"
"","Sikkim","88","0","1.1","0.9","0.2","25.0"
"NER","Arunachal Pradesh","91","1","1.1","1.7","-0.6","53.1"
"","Assam","1326","165","28.3","20.0","4.3","245.9"
"","Manipur","126","1","2.0","2.0","0.0","49.1"
"","Meghalaya","266","2","4.1","1.8","-0.7","40.1"
"","Mizoram","66","1","1.5","1.0","0.4","17.9"
"","Nagaland","102","1","1.5","1.6","-0.1","35.8"
"","Tripura","224","2","3.0","0.8","0.2","93.1"
