"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4924","0","93.3","30.1","1.0","372"
"","Haryana","6005","0","101.7","73.2","-1.2","139"
"","Rajasthan","8931","0","182.8","70.6","3.8","319"
"","Delhi","3688","0","61.5","49.6","0.1","229"
"","UP","12552","0","249.3","97.1","0.9","293"
"","Uttarakhand","1933","0","35.1","22.4","-0.7","272"
"","HP","1492","0","26.7","20.9","-0.1","159"
"","J&K","2107","527","46.6","38.7","3.2","265"
"","Chandigarh","209","0","3.5","3.6","-0.1","15"
"WR","Chhattisgarh","3287","0","73.9","12.9","-1.0","172"
"","Gujarat","13290","0","281.5","77.6","-2.5","461"
"","MP","10120","0","171.4","110.3","-12.1","273"
"","Maharashtra","20082","0","415.2","149.5","-1.5","698"
"","Goa","431","0","9.2","8.2","0.4","76"
"","DD","269","0","5.9","5.9","-0.1","8"
"","DNH","726","0","16.6","16.9","-0.3","11"
"","Essar steel","514","0","10.8","9.7","1.0","160"
"SR","Andhra Pradesh","6968","0","147.9","26.6","1.7","448"
"","Telangana","8173","0","161.8","71.8","1.8","358"
"","Karnataka","9221","0","198.2","73.9","3.8","443"
"","Kerala","3331","0","64.6","54.3","2.5","250"
"","Tamil Nadu","11871","0","252.1","136.9","0.0","642"
"","Pondy","298","0","6.3","6.5","-0.2","24"
"ER","Bihar","3437","0","58.1","54.8","1.5","265"
"","DVC","2645","0","63.5","-29.9","-0.4","198"
"","Jharkhand","1164","0","22.5","16.6","1.7","240"
"","Odisha","3713","0","67.3","13.7","0.5","280"
"","West Bengal","6716","0","110.6","16.0","1.2","320"
"","Sikkim","87","0","1.6","1.5","0.1","27"
"NER","Arunachal Pradesh","112","1","2.2","1.4","0.8","3"
"","Assam","1345","47","22.7","16.1","1.9","122"
"","Manipur","136","1","2.0","2.3","-0.3","0"
"","Meghalaya","293","0","5.1","4.1","0.1","44"
"","Mizoram","90","1","1.1","0.8","0.3","41"
"","Nagaland","102","1","2.2","1.5","0.6","30"
"","Tripura","208","0","3.3","2.1","-0.3","46"
