"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5830","0","128.6","54.0","-0.1","111","0.0"
"","Haryana","6414","225","119.8","46.6","1.5","307","1.1"
"","Rajasthan","8467","0","187.1","41.7","1.8","608","0.0"
"","Delhi","4187","0","87.8","69.1","0.0","168","0.0"
"","UP","15340","325","314.8","103.8","0.4","564","0.0"
"","Uttarakhand","1812","0","35.3","25.0","1.4","233","1.2"
"","HP","1377","0","26.2","18.0","0.8","220","0.1"
"","J&K","2092","523","41.8","34.1","0.5","226","9.9"
"","Chandigarh","200","0","4.0","4.0","0.1","38","0.0"
"WR","Chhattisgarh","3739","0","86.1","18.7","-1.7","121","0.0"
"","Gujarat","14858","0","339.1","164.1","2.9","428","0.0"
"","MP","8718","0","182.6","86.3","-3.5","185","0.0"
"","Maharashtra","22287","0","490.8","146.6","1.2","536","0.0"
"","Goa","603","0","11.7","11.2","-0.1","115","0.0"
"","DD","323","0","7.3","6.4","0.9","96","0.0"
"","DNH","760","0","17.7","16.7","1.0","80","0.0"
"","Essar steel","364","0","6.9","7.0","-0.1","201","0.0"
"SR","Andhra Pradesh","8079","0","172.1","46.5","-0.7","671","0.0"
"","Telangana","9061","0","200.6","105.2","-1.3","516","0.0"
"","Karnataka","10073","0","224.3","81.9","-1.1","514","0.0"
"","Kerala","3835","0","77.9","48.6","1.8","187","0.0"
"","Tamil Nadu","15115","0","337.2","164.6","3.2","608","0.0"
"","Pondy","366","0","7.9","8.2","-0.3","37","0.0"
"ER","Bihar","4341","0","84.4","78.9","0.4","100","0.0"
"","DVC","2946","100","66.3","-47.6","2.8","400","0.3"
"","Jharkhand","1128","0","22.9","12.6","1.5","200","0.0"
"","Odisha","3656","0","74.0","27.8","-1.6","180","0.0"
"","West Bengal","8345","0","158.6","26.0","1.4","400","0.0"
"","Sikkim","98","0","1.3","1.5","-0.2","15","0.0"
"NER","Arunachal Pradesh","125","1","2.1","1.5","0.6","65","0.0"
"","Assam","1527","31","24.7","20.5","1.7","95","0.7"
"","Manipur","166","2","2.4","2.4","0.1","24","0.0"
"","Meghalaya","298","0","5.1","2.2","-0.1","45","0.0"
"","Mizoram","81","1","1.3","1.1","0.2","10","0.0"
"","Nagaland","128","6","2.0","1.6","0.2","30","0.0"
"","Tripura","258","0","4.3","3.1","0.8","50","0.0"
