"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8938","0","190.3","104.5","-1.8","180","0.0"
"","Haryana","9123","0","187.4","130.5","-1.1","106","0.0"
"","Rajasthan","11967","0","271.0","83.5","1.0","373","0.0"
"","Delhi","6367","0","129.0","108.9","-0.5","195","0.0"
"","UP","20018","880","433.9","189.0","-0.3","311","6.0"
"","Uttarakhand","2051","0","46.1","19.4","0.8","91","0.0"
"","HP","1495","0","30.1","3.5","1.4","186","0.0"
"","J&K","2120","530","47.5","25.5","-1.2","188","11.3"
"","Chandigarh","283","0","5.7","6.6","-0.9","2","0.0"
"WR","Chhattisgarh","3835","0","85.6","31.9","-2.1","310","0.0"
"","Gujarat","18139","0","398.1","104.0","4.4","629","0.0"
"","MP","9550","0","219.8","119.8","0.0","811","0.0"
"","Maharashtra","21542","0","472.7","127.6","0.4","354","0.0"
"","Goa","541","0","11.9","11.0","0.4","102","0.0"
"","DD","338","0","7.6","7.3","0.4","43","0.0"
"","DNH","738","0","17.4","17.8","-0.4","25","0.0"
"","Essar steel","294","0","5.4","5.7","-0.3","268","0.0"
"SR","Andhra Pradesh","9079","600","187.2","48.0","1.6","597","5.2"
"","Telangana","7179","0","144.0","59.4","0.2","748","0.0"
"","Karnataka","9180","500","180.8","55.8","1.0","854","1.5"
"","Kerala","3710","0","78.7","56.7","1.3","205","0.0"
"","Tamil Nadu","15215","0","337.3","144.6","1.3","892","0.0"
"","Pondy","430","0","9.2","9.1","0.1","46","0.0"
"ER","Bihar","5356","0","107.1","103.9","0.4","50","0.0"
"","DVC","2990","0","64.1","-45.9","-0.2","200","0.0"
"","Jharkhand","1230","0","26.8","23.4","-0.7","150","0.0"
"","Odisha","4168","0","88.0","24.7","-0.2","200","0.0"
"","West Bengal","8355","0","166.4","50.5","-1.0","400","0.0"
"","Sikkim","93","0","1.2","1.3","-0.2","20","0.0"
"NER","Arunachal Pradesh","112","1","2.0","2.3","-0.2","22","0.0"
"","Assam","1668","58","31.1","25.7","0.2","116","1.3"
"","Manipur","172","2","2.3","2.3","0.0","19","0.0"
"","Meghalaya","331","0","5.9","2.3","-0.2","58","0.0"
"","Mizoram","98","1","1.7","1.4","0.2","20","0.0"
"","Nagaland","126","1","2.1","2.1","-0.1","34","0.0"
"","Tripura","260","2","4.9","3.9","-0.2","87","0.0"
