"INTER-REGIONAL EXCHANGESDate of Reporting :29-Feb-20","","","","","","","",""
"","","","","","","","","Import=(+ve) /Export =(-ve) for NET (MU)"
"Sl No","Voltage Level","Line Details","Circuit","Max Import  (MW)","Max Export (MW)","Import   (MU)","Export(MU)","NET(MU)"
"Import/Export of ER (With NR)","","","","","","","",""
"4","HVDC","ALIPURDUAR-AGRA","-","0","0","0.0","0.0","0.0"
"5","","PUSAULI  B/B","S/C","0","251","0.0","5.9","-5.9"
"1","765kV","GAYA-VARANASI","D/C","0","822","0.0","10.4","-10.4"
"2","","SASARAM-FATEHPUR","S/C","41","325","0.0","3.5","-3.5"
"3","","GAYA-BALIA","S/C","0","461","0.0","6.9","-6.9"
"6","400 kV","PUSAULI-VARANASI","S/C","0","209","0.0","4.1","-4.1"
"7","","PUSAULI -ALLAHABAD","S/C","0","116","0.0","2.0","-2.0"
"8","","MUZAFFARPUR-GORAKHPUR","D/C","203","460","0.0","0.9","-0.9"
"9","","PATNA-BALIA","Q/C","0","775","0.0","8.8","-8.8"
"10","","BIHARSHARIFF-BALIA","D/C","50","336","0.0","2.8","-2.8"
"11","","MOTIHARI-GORAKHPUR","D/C","0","607","0.0","10.1","-10.1"
"12","","BIHARSHARIFF-VARANASI","D/C","194","259","0.1","0.0","0.1"
"13","220 kV","PUSAULI-SAHUPURI","S/C","0","136","0.0","2.4","-2.4"
"14","132 kV","SONE NAGAR-RIHAND","S/C","0","0","0.0","0.0","0.0"
"15","","GARWAH-RIHAND","S/C","30","0","0.4","0.0","0.4"
"16","","KARMANASA-SAHUPURI","S/C","0","0","0.0","0.0","0.0"
"17","","KARMANASA-CHANDAULI","S/C","0","0","0.0","0.0","0.0"
"ER-NR","","","","","","0.5","57.9","-57.4"
"Import/Export of ER (With  WR)","","","","","","","",""
"18","765 kV","JHARSUGUDA-DHARAMJAIGARH","Q/C","1750","0","35.6","0.0","35.6"
"19","","NEW RANCHI-DHARAMJAIGARH","D/C","868","44","7.9","0.0","7.9"
"20","","JHARSUGUDA-DURG","D/C","0","22","0.7","0.0","0.7"
"21","400 kV","JHARSUGUDA-RAIGARH","Q/C","136","236","0.0","1.9","-1.9"
"22","","RANCHI-SIPAT","D/C","257","43","2.5","0.0","2.5"
"23","220 kV","BUDHIPADAR-RAIGARH","S/C","8","103","0.0","1.2","-1.2"
"24","","BUDHIPADAR-KORBA","D/C","172","0","2.5","0.0","2.5"
