"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6409","0","144.5","86.7","0.0","185"
"","Haryana","5366","0","97.7","76.6","-5.4","209"
"","Rajasthan","7751","0","169.7","55.0","-0.4","302"
"","Delhi","4235","0","87.6","71.5","-4.7","50"
"","UP","11972","1735","261.0","138.9","-0.5","500"
"","Uttarakhand","1585","40","29.4","16.2","-1.5","139"
"","HP","1074","0","22.3","1.7","0.6","211"
"","J&K","1589","100","25.8","14.9","-2.8","188"
"","Chandigarh","280","0","5.3","0.2","5.1","280"
"WR","Chhattisgarh","2735","63","66.0","23.1","-1.1","321"
"","Gujarat","12468","42","277.7","55.4","2.7","384"
"","MP","6773","36","147.1","79.6","-1.2","382"
"","Maharashtra","17704","611","385.1","124.3","6.9","1263"
"","Goa","400","2","8.3","7.8","0.1","0"
"","DD","234","1","4.4","5.7","-1.3","0"
"","DNH","613","3","14.2","14.6","-0.3","82"
"","Essar steel","429","2","9.1","8.6","0.5","85"
"SR","Andhra Pradesh","10802","100","248.3","90.4","1.7","543"
"","Karnataka","7292","450","148.9","21.6","0.6","449"
"","Kerala","3266","180","59.7","32.1","2.9","384"
"","Tamil Nadu","11564","0","267.7","80.4","-1.3","418"
"","Pondy","310","0","6.7","6.8","-0.1","33"
"ER","Bihar","2280","400","44.4","42.0","-0.7","385"
"","DVC","2559","0","56.9","-15.5","0.6","486"
"","Jharkhand","983","0","20.1","12.5","-1.8","85"
"","Odisha","3485","0","75.9","18.0","1.4","465"
"","West Bengal","6599","0","115.0","30.9","5.3","724"
"","Sikkim","84","0","1.4","1.0","0.4","30"
"NER","Arunachal Pradesh","98","12","1.5","1.2","0.2","48"
"","Assam","1195","132","22.5","14.1","3.9","241"
"","Manipur","108","6","1.4","1.5","-0.1","27"
"","Meghalaya","245","12","3.7","1.4","-0.6","51"
"","Mizoram","69","3","1.1","1.0","-0.1","24"
"","Nagaland","90","41","1.3","1.5","-0.4","30"
"","Tripura","202","11","3.1","0.3","0.5","115"
