"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4812","80","101.6","41.7","1.5","243"
"","Haryana","5165","0","97.6","44.4","0.1","266"
"","Rajasthan","6436","0","137.9","44.8","-6.4","0"
"","Delhi","3646","0","78.6","54.6","-2.5","94"
"","UP","9879","1460","218.6","80.0","1.0","459"
"","Uttarakhand","1535","0","32.6","20.2","0.1","149"
"","HP","1176","0","23.1","12.5","-0.7","96"
"","J&K","1544","100","23.7","19.9","-6.7","130"
"","Chandigarh","211","0","4.2","4.2","0.0","33"
"WR","Chhattisgarh","3206","63","73.6","17.9","4.4","363"
"","Gujarat","11698","72","269.8","49.0","2.5","443"
"","MP","7198","25","140.1","69.4","-3.3","281"
"","Maharashtra","16809","323","368.4","113.5","-0.4","410"
"","Goa","342","1","7.3","7.3","-0.4","55"
"","DD","270","1","6.3","5.5","0.9","35"
"","DNH","598","2","14.3","14.2","0.1","31"
"SR","Andhra Pradesh","11111","3400","249.7","76.1","2.6","505"
"","Karnataka","8016","900","169.6","25.0","1.5","335"
"","Kerala","2931","500","59.6","32.8","2.4","264"
"","Tamil Nadu","11516","504","246.3","78.7","2.8","286"
"","Pondy","296","0","6.4","7.7","-1.3","0"
"ER","Bihar","1663","300","33.5","34.0","-0.4","100"
"","DVC","2611","0","57.8","-22.5","-0.5","300"
"","Jharkhand","1004","0","19.0","9.6","-1.5","0"
"","Odisha","3652","0","71.6","10.5","3.0","230"
"","West Bengal","6073","0","131.5","36.0","0.4","250"
"","Sikkim","59","0","0.8","1.2","-0.4","59"
"NER","Arunachal Pradesh","93","5","1.2","1.0","0.1","34"
"","Assam","975","71","15.7","10.3","0.1","99"
"","Manipur","76","1","1.1","1.0","0.0","30"
"","Meghalaya","215","15","4.2","3.0","0.3","68"
"","Mizoram","55","2","0.9","0.8","0.1","11"
"","Nagaland","53","2","1.0","0.9","0.2","20"
"","Tripura","162","26","2.7","0.7","0.0","67"
