"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5366","0","99.0","41.2","2.2","210"
"","Haryana","5580","0","103.3","58.0","-1.1","157"
"","Rajasthan","9124","205","184.6","75.2","-0.7","193"
"","Delhi","3237","51","58.8","42.4","-1.1","386"
"","UP","9950","1830","221.6","93.7","-1.2","367"
"","Uttarakhand","1786","35","32.9","22.3","1.9","224"
"","HP","1312","0","23.9","17.8","0.7","91"
"","J&K","1872","100","38.4","32.7","0.4","101"
"","Chandigarh","197","0","3.4","3.3","0.1","28"
"WR","Chhattisgarh","3017","26","65.8","14.4","-0.1","357"
"","Gujarat","10980","0","240.6","68.4","0.2","508"
"","MP","5789","6","118.2","48.3","-2.9","493"
"","Maharashtra","17075","107","366.7","113.4","3.4","581"
"","Goa","414","0","8.4","7.4","0.2","96"
"","DD","268","0","6.4","5.7","0.7","32"
"","DNH","631","1","14.7","14.5","0.3","38"
"","Essar steel","482","1","10.3","10.6","-0.3","37"
"SR","Andhra Pradesh","12050","1000","272.5","88.1","5.2","432"
"","Karnataka","8927","450","194.0","21.6","1.2","270"
"","Kerala","3418","150","64.0","31.4","2.4","249"
"","Tamil Nadu","11652","628","251.2","87.2","2.1","327"
"","Pondy","291","0","5.4","5.6","-0.2","45"
"ER","Bihar","1990","0","41.3","37.1","0.5","135"
"","DVC","2488","0","56.3","-19.6","-2.2","236"
"","Jharkhand","982","0","20.9","10.6","0.3","125"
"","Odisha","3595","0","64.5","8.3","1.1","385"
"","West Bengal","6466","0","109.9","21.2","1.3","323"
"","Sikkim","95","0","1.3","1.3","0.0","38"
"NER","Arunachal Pradesh","114","1","1.5","1.3","0.1","43"
"","Assam","977","176","18.6","12.2","1.7","119"
"","Manipur","108","2","1.6","1.5","0.1","43"
"","Meghalaya","260","17","4.8","3.6","0.3","57"
"","Mizoram","74","1","1.1","0.9","0.0","21"
"","Nagaland","100","2","1.6","1.6","-0.3","17"
"","Tripura","200","0","2.7","0.7","-0.1","24"
