"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9150","0","227.6","123.8","-0.1","97"
"","Haryana","6784","0","143.4","106.7","-2.1","193"
"","Rajasthan","8879","0","197.5","56.0","0.2","344"
"","Delhi","5163","0","107.2","83.5","0.3","274"
"","UP","11864","1690","271.7","121.9","0.3","402"
"","Uttarakhand","1775","75","35.4","19.2","-1.2","152"
"","HP","1178","0","24.7","0.1","0.6","123"
"","J&K","1402","100","24.7","16.0","-3.2","122"
"","Chandigarh","330","0","6.4","5.4","1.1","80"
"WR","Chhattisgarh","2836","64","62.6","19.5","-2.1","171"
"","Gujarat","12144","88","259.9","45.9","-4.5","590"
"","MP","6588","89","142.2","72.8","-1.8","570"
"","Maharashtra","18501","112","400.3","120.2","-0.1","1133"
"","Goa","401","2","8.6","8.2","0.0","0"
"","DD","276","1","6.1","6.5","-0.4","58"
"","DNH","641","3","14.6","14.8","-0.3","31"
"","Essar steel","469","2","9.7","10.9","-1.2","11"
"SR","Andhra Pradesh","5428","500","122.1","8.9","2.6","340"
"","Telangana","5158","600","116.0","67.7","4.9","303"
"","Karnataka","7628","1100","160.6","26.6","0.9","1009"
"","Kerala","3145","700","58.1","35.8","2.4","261"
"","Tamil Nadu","13463","0","291.3","79.3","-0.6","384"
"","Pondy","334","0","7.0","7.0","0.0","30"
"ER","Bihar","2300","0","47.7","45.6","-0.9","225"
"","DVC","2560","0","58.3","-22.2","-2.1","178"
"","Jharkhand","961","0","21.1","9.9","-1.2","65"
"","Odisha","3692","0","76.5","16.9","-0.2","198"
"","West Bengal","6953","22","137.8","39.1","-0.9","289"
"","Sikkim","87","0","1.4","1.3","0.1","0"
"NER","Arunachal Pradesh","109","11","1.6","1.4","0.2","39"
"","Assam","1105","254","24.1","15.4","3.6","172"
"","Manipur","109","13","1.5","1.6","-0.1","21"
"","Meghalaya","242","28","4.0","1.3","-0.3","49"
"","Mizoram","71","10","1.1","1.0","-0.2","17"
"","Nagaland","99","11","1.6","1.6","-0.2","33"
"","Tripura","224","54","3.0","1.3","-0.6","45"
