"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9497","0","210.2","130.3","0.6","210"
"","Haryana","8310","0","160.1","141.2","-1.5","169"
"","Rajasthan","7985","0","173.3","64.9","0.5","175"
"","Delhi","4798","0","100.1","83.6","0.5","165"
"","UP","15271","0","319.2","142.1","-0.4","394"
"","Uttarakhand","1818","0","37.4","13.5","0.8","139"
"","HP","1239","0","26.2","-0.7","1.6","151"
"","J&K","1818","454","35.8","16.7","-2.9","114"
"","Chandigarh","309","0","6.0","5.9","0.1","38"
"WR","Chhattisgarh","3445","0","79.1","29.8","-0.9","141"
"","Gujarat","12447","0","275.8","76.2","-1.5","272"
"","MP","6782","0","143.3","47.7","-1.7","388"
"","Maharashtra","16777","0","369.4","101.3","2.6","475"
"","Goa","298","0","6.5","7.1","-1.1","108"
"","DD","273","0","6.0","5.9","0.1","27"
"","DNH","709","0","16.3","16.7","-0.4","7"
"","Essar steel","465","0","9.8","10.0","-0.2","239"
"SR","Andhra Pradesh","6609","0","147.4","12.1","-1.3","465"
"","Telangana","6974","0","154.2","103.2","2.7","333"
"","Karnataka","8153","0","170.7","75.0","-1.0","544"
"","Kerala","3481","0","63.6","45.7","-0.3","531"
"","Tamil Nadu","12293","0","257.8","109.4","-2.0","394"
"","Pondy","277","0","5.8","6.4","-0.6","51"
"ER","Bihar","3349","0","71.5","65.5","3.9","290"
"","DVC","2977","0","60.9","-24.6","0.7","210"
"","Jharkhand","1049","0","20.6","14.0","0.2","150"
"","Odisha","3811","0","70.6","16.1","-1.1","370"
"","West Bengal","7486","0","138.7","38.4","1.8","230"
"","Sikkim","76","0","1.1","1.1","0.0","30"
"NER","Arunachal Pradesh","106","5","2.0","2.0","0.0","16"
"","Assam","1546","45","27.5","19.6","2.5","234"
"","Manipur","129","6","1.8","2.0","-0.3","37"
"","Meghalaya","272","0","4.9","0.8","0.1","29"
"","Mizoram","75","3","1.1","1.0","0.1","11"
"","Nagaland","100","6","2.0","1.7","0.3","23"
"","Tripura","253","0","4.1","3.6","0.7","37"
