"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7989","0","174.8","96.4","-0.4","391","0.0"
"","Haryana","7367","0","157.9","110.0","0.3","666","0.0"
"","Rajasthan","9933","184","219.4","65.7","4.3","445","0.6"
"","Delhi","5902","0","122.2","100.8","1.2","638","0.0"
"","UP","17512","0","368.2","150.2","0.8","1418","0.0"
"","Uttarakhand","1929","0","38.3","18.5","-3.1","165","0.0"
"","HP","1307","0","26.4","3.9","0.9","179","0.0"
"","J&K","2006","502","39.9","15.5","1.3","447","9.4"
"","Chandigarh","340","0","6.4","6.5","0.3","449","0.0"
"WR","Chhattisgarh","3393","0","82.7","16.5","-0.6","166","0.0"
"","Gujarat","15886","0","346.1","68.0","2.8","788","0.0"
"","MP","8327","0","182.0","90.1","1.4","398","0.0"
"","Maharashtra","21675","0","476.1","134.2","2.3","1425","0.0"
"","Goa","456","0","10.4","8.9","1.3","110","0.0"
"","DD","325","0","7.3","6.5","0.8","78","0.0"
"","DNH","751","0","17.1","17.6","-0.5","-9","0.0"
"","Essar steel","445","0","9.5","9.0","0.5","206","0.0"
"SR","Andhra Pradesh","7721","0","161.5","32.5","2.9","469","0.0"
"","Telangana","7263","0","151.8","81.9","-3.2","472","0.0"
"","Karnataka","8307","0","175.7","68.6","3.4","400","0.0"
"","Kerala","3679","0","71.9","54.9","1.6","290","0.0"
"","Tamil Nadu","13737","0","305.0","98.7","-4.0","409","0.0"
"","Pondy","359","0","7.8","8.2","-0.5","19","0.0"
"ER","Bihar","4004","0","65.7","64.0","-1.9","500","0.0"
"","DVC","2835","0","63.0","-48.3","0.7","270","0.0"
"","Jharkhand","1132","0","20.8","17.2","-1.9","160","0.0"
"","Odisha","4173","0","87.6","27.8","4.1","550","0.0"
"","West Bengal","7781","0","149.0","43.8","-0.8","265","0.0"
"","Sikkim","74","0","0.7","1.1","-0.4","25","0.0"
"NER","Arunachal Pradesh","96","4","1.9","2.8","-0.9","18","0.0"
"","Assam","1526","56","25.5","19.5","1.9","90","1.1"
"","Manipur","154","2","2.5","2.5","0.0","13","0.0"
"","Meghalaya","254","0","3.7","1.9","-0.5","8","0.0"
"","Mizoram","81","2","1.4","1.5","-0.1","16","0.0"
"","Nagaland","106","3","2.5","2.4","0.0","5","0.0"
"","Tripura","225","17","4.8","5.9","-1.0","38","0.2"
