"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8471","0","186.1","115.3","-0.5","142"
"","Haryana","7435","231","154.4","65.9","-0.3","237"
"","Rajasthan","8650","213","192.8","88.3","-1.1","300"
"","Delhi","4659","0","96.8","75.8","-4.2","120"
"","UP","10612","2985","226.1","111.8","1.5","498"
"","Uttarakhand","1400","225","31.0","10.6","0.6","144"
"","HP","1226","47","25.0","3.2","0.0","129"
"","J&K","1455","100","28.9","15.7","-0.5","155"
"","Chandigarh","249","0","4.9","5.4","-0.5","6"
"WR","Chhattisgarh","2898","58","67.8","29.2","1.4","336"
"","Gujarat","12321","156","277.3","68.1","-2.1","331"
"","MP","7520","24","149.8","68.7","-0.2","393"
"","Maharashtra","16516","309","344.9","111.6","9.6","462"
"","Goa","310","1","6.0","7.1","-1.6","76"
"","DD","258","1","5.9","6.0","-0.2","43"
"","DNH","647","2","15.0","15.0","0.0","55"
"","Essar steel","329","1","6.3","5.8","0.5","51"
"SR","Andhra Pradesh","10678","0","242.3","77.3","2.0","361"
"","Karnataka","6448","300","124.2","12.2","-0.7","164"
"","Kerala","3133","75","56.2","24.9","0.5","278"
"","Tamil Nadu","11162","218","230.2","71.4","0.4","371"
"","Pondy","297","0","5.7","6.5","-0.8","12"
"ER","Bihar","2003","0","45.1","42.7","0.0","80"
"","DVC","2574","0","57.3","-29.7","-0.4","110"
"","Jharkhand","873","0","19.5","15.6","-1.4","65"
"","Odisha","3522","0","71.8","6.9","-0.8","230"
"","West Bengal","6879","13","123.1","30.4","0.4","510"
"","Sikkim","84","0","1.2","1.2","-0.1","12"
"NER","Arunachal Pradesh","78","7","1.4","1.6","-0.2","37"
"","Assam","1128","201","23.2","14.4","3.2","217"
"","Manipur","93","7","1.4","1.8","-0.5","20"
"","Meghalaya","285","12","4.3","0.6","-0.5","16"
"","Mizoram","52","5","1.0","1.1","0.0","2"
"","Nagaland","94","6","1.6","1.4","-0.2","22"
"","Tripura","179","45","3.2","1.1","0.1","42"
