"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7521","0","166.3","77.2","-1.6","88","0.0"
"","Haryana","8337","130","173.6","116.3","0.3","125","0.5"
"","Rajasthan","12103","0","257.9","67.9","1.4","502","0.0"
"","Delhi","5701","0","114.9","99.0","-1.0","156","0.0"
"","UP","20939","350","435.6","189.6","1.9","638","0.3"
"","Uttarakhand","2135","0","46.5","21.7","1.2","120","0.0"
"","HP","1415","0","29.4","6.7","3.1","334","0.0"
"","J&K","2284","571","47.8","26.1","1.0","410","11.2"
"","Chandigarh","284","0","5.4","6.2","-0.7","56","0.0"
"WR","Chhattisgarh","3970","0","89.0","37.3","-1.3","450","0.0"
"","Gujarat","17969","0","391.1","95.9","3.9","539","0.0"
"","MP","9873","0","227.4","112.9","0.0","705","0.0"
"","Maharashtra","23276","0","516.4","133.9","-2.2","268","0.0"
"","Goa","541","0","11.8","11.0","0.2","170","0.0"
"","DD","329","0","7.3","7.0","0.3","43","0.0"
"","DNH","753","0","17.4","17.8","-0.4","61","0.0"
"","Essar steel","310","0","6.0","5.9","0.1","256","0.0"
"SR","Andhra Pradesh","9700","0","201.0","62.1","-0.4","574","0.0"
"","Telangana","8511","0","181.8","58.9","0.6","328","0.0"
"","Karnataka","10540","0","214.1","59.9","0.4","567","0.0"
"","Kerala","4219","0","88.1","59.7","1.4","198","0.0"
"","Tamil Nadu","15004","0","356.2","162.4","0.5","887","0.0"
"","Pondy","436","0","9.4","9.2","0.2","70","0.0"
"ER","Bihar","5270","0","108.7","101.4","1.4","25","0.0"
"","DVC","3104","0","68.8","-46.1","-0.1","200","0.0"
"","Jharkhand","1217","0","28.5","20.5","-0.5","140","0.0"
"","Odisha","4415","0","89.5","32.1","1.4","290","0.0"
"","West Bengal","9537","0","186.1","65.2","-0.3","300","0.0"
"","Sikkim","92","0","1.3","1.3","0.0","18","0.0"
"NER","Arunachal Pradesh","121","1","2.1","2.6","-0.5","14","0.0"
"","Assam","1666","63","28.0","23.5","0.8","159","0.7"
"","Manipur","178","3","2.7","2.3","0.4","32","0.0"
"","Meghalaya","309","0","5.0","2.6","0.2","52","0.3"
"","Mizoram","90","2","1.7","1.3","0.3","20","0.0"
"","Nagaland","106","3","2.0","2.0","-0.1","27","0.0"
"","Tripura","282","4","5.0","4.8","0.2","66","0.0"
