"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7587","0","159.7","69.9","0.3","161"
"","Haryana","7627","0","146.4","87.7","1.6","256"
"","Rajasthan","8711","0","195.2","59.0","-0.2","172"
"","Delhi","4047","0","82.9","72.4","1.5","220"
"","UP","12542","3485","273.5","124.2","3.9","606"
"","Uttarakhand","1781","0","16.8","15.4","1.4","245"
"","HP","1202","0","23.7","11.9","0.1","180"
"","J&K","2092","523","37.0","24.0","1.7","449"
"","Chandigarh","223","0","4.3","4.3","0.3","29"
"WR","Chhattisgarh","3748","96","90.0","36.0","1.6","406"
"","Gujarat","14061","5","316.1","73.4","-2.3","233"
"","MP","8361","0","187.8","108.2","-3.1","237"
"","Maharashtra","17588","406","386.0","114.2","-2.0","482"
"","Goa","413","0","9.0","7.0","1.6","98"
"","DD","289","0","6.3","6.1","0.1","35"
"","DNH","690","0","15.2","15.0","0.2","46"
"","Essar steel","271","0","2.9","2.4","0.5","128"
"SR","Andhra Pradesh","5784","0","124.7","13.8","0.8","365"
"","Telangana","6237","0","141.3","98.7","-0.4","439"
"","Karnataka","6852","1000","144.2","26.5","3.2","515"
"","Kerala","3193","0","59.8","42.5","1.3","253"
"","Tamil Nadu","11690","0","252.4","117.3","0.6","502"
"","Pondy","298","0","5.9","6.0","-0.1","35"
"ER","Bihar","3339","0","71.5","72.8","-3.6","0"
"","DVC","2482","0","58.5","-11.1","-1.1","121"
"","Jharkhand","962","60","23.3","15.2","0.8","35"
"","Odisha","3353","200","73.1","20.4","1.0","152"
"","West Bengal","7330","0","160.0","64.2","-1.9","0"
"","Sikkim","86","0","1.1","0.8","0.3","42"
"NER","Arunachal Pradesh","107","4","1.6","1.6","0.1","53"
"","Assam","1275","203","26.8","17.3","3.4","182"
"","Manipur","136","5","2.2","2.1","0.1","30"
"","Meghalaya","321","2","4.3","1.3","-1.0","30"
"","Mizoram","72","4","1.1","1.1","-0.1","20"
"","Nagaland","103","5","1.5","1.2","0.2","70"
"","Tripura","228","23","3.8","1.3","0.6","80"
