"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10660","0","234.5","110.4","1.4","216"
"","Haryana","8474","0","175.6","121.4","-1.5","230"
"","Rajasthan","8118","0","174.2","47.8","2.6","430"
"","Delhi","5452","3","108.8","87.3","-0.3","145"
"","UP","12124","2885","287.1","132.9","1.9","479"
"","Uttarakhand","1852","155","40.2","15.3","1.5","182"
"","HP","1337","0","28.0","4.0","1.6","153"
"","J&K","1969","492","37.5","20.6","1.4","233"
"","Chandigarh","331","0","6.6","6.4","0.3","27"
"WR","Chhattisgarh","3272","96","74.7","22.6","1.0","297"
"","Gujarat","12324","0","277.9","62.4","-1.5","424"
"","MP","6739","0","140.9","89.0","-1.8","85"
"","Maharashtra","18239","41","406.5","112.5","3.3","446"
"","Goa","409","0","8.7","7.6","0.7","90"
"","DD","301","0","6.7","6.5","0.2","30"
"","DNH","711","0","16.5","17.1","-0.6","30"
"","Essar steel","421","0","8.8","7.9","0.9","154"
"SR","Andhra Pradesh","6550","0","147.9","31.8","3.8","424"
"","Telangana","6063","0","134.5","88.2","0.1","344"
"","Karnataka","8029","371","172.6","31.8","2.4","423"
"","Kerala","3297","125","61.8","34.5","1.5","490"
"","Tamil Nadu","13035","0","294.4","95.4","2.0","407"
"","Pondy","322","0","7.0","7.1","-0.1","29"
"ER","Bihar","2865","150","59.6","60.0","-2.8","0"
"","DVC","2604","0","60.3","-15.6","1.4","265"
"","Jharkhand","992","0","20.7","11.1","-1.9","60"
"","Odisha","4005","0","77.7","18.5","1.7","268"
"","West Bengal","7189","0","137.5","47.1","3.5","360"
"","Sikkim","85","0","1.3","1.1","0.2","49"
"NER","Arunachal Pradesh","108","2","1.2","2.0","-0.7","30"
"","Assam","1242","188","24.9","20.6","0.4","178"
"","Manipur","136","2","2.3","2.5","-0.2","29"
"","Meghalaya","297","2","4.7","0.9","-0.8","68"
"","Mizoram","75","1","1.2","1.2","0.1","17"
"","Nagaland","107","3","1.7","1.8","-0.1","16"
"","Tripura","242","4","3.3","1.4","0.0","85"
