"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7115","0","159.6","109.7","3.7","541","0.0"
"","Haryana","6889","0","148.4","118.2","4.6","513","1.5"
"","Rajasthan","9631","0","202.6","56.7","5.4","477","0.0"
"","Delhi","5522","0","113.0","100.3","0.2","251","0.1"
"","UP","17182","260","372.8","161.1","2.8","503","0.2"
"","Uttarakhand","1960","0","42.3","18.1","1.0","192","0.0"
"","HP","1351","0","27.4","2.9","2.7","208","0.0"
"","J&K","2123","531","41.4","15.6","2.8","461","9.7"
"","Chandigarh","303","0","6.0","6.3","-0.3","13","0.0"
"WR","Chhattisgarh","3389","0","78.9","20.0","-0.6","186","0.0"
"","Gujarat","16204","0","332.4","86.8","1.8","523","0.0"
"","MP","7831","0","175.3","93.4","-0.8","603","0.0"
"","Maharashtra","20191","0","436.9","128.7","-1.7","727","0.0"
"","Goa","438","0","9.5","9.2","-0.1","82","0.0"
"","DD","295","0","5.3","5.1","0.3","23","0.0"
"","DNH","748","0","16.1","17.0","-0.8","15","0.0"
"","Essar steel","453","0","9.0","8.7","0.3","169","0.0"
"SR","Andhra Pradesh","7696","0","169.0","49.6","7.4","758","0.0"
"","Telangana","7120","0","146.3","67.0","-5.3","260","0.0"
"","Karnataka","8212","0","180.3","77.0","3.9","626","0.0"
"","Kerala","3203","0","62.4","48.5","0.6","179","0.0"
"","Tamil Nadu","14226","0","317.3","107.6","-2.4","648","0.0"
"","Pondy","359","0","7.6","8.2","-0.6","15","0.0"
"ER","Bihar","4185","0","79.6","70.2","6.0","500","0.0"
"","DVC","2998","0","63.7","-50.4","1.8","530","0.0"
"","Jharkhand","1118","0","23.0","17.3","-0.1","160","0.0"
"","Odisha","4063","0","85.2","23.6","0.8","400","0.0"
"","West Bengal","8305","0","155.7","45.7","3.9","536","0.0"
"","Sikkim","68","0","0.9","1.7","-0.8","4","0.0"
"NER","Arunachal Pradesh","92","1","1.5","2.8","-1.3","5","0.0"
"","Assam","1421","140","23.6","18.7","1.2","222","1.7"
"","Manipur","133","4","1.6","1.9","-0.3","16","0.0"
"","Meghalaya","258","0","4.3","0.7","0.0","136","0.0"
"","Mizoram","69","2","1.2","1.3","-0.2","5","0.0"
"","Nagaland","99","2","1.8","2.2","-0.5","22","0.0"
"","Tripura","202","11","3.1","3.2","-0.1","69","0.2"
