"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5013","0","94.3","40.8","-0.1","146"
"","Haryana","5919","0","111.4","60.3","0.5","475"
"","Rajasthan","10256","0","222.2","77.5","4.4","442"
"","Delhi","3768","0","62.3","50.2","-1.8","232"
"","UP","10770","1055","237.0","101.9","-2.6","395"
"","Uttarakhand","1847","0","34.4","23.5","0.7","140"
"","HP","1369","0","24.8","21.8","-0.8","119"
"","J&K","2028","507","44.6","38.3","1.3","142"
"","Chandigarh","216","0","3.7","3.7","0.3","14"
"WR","Chhattisgarh","3323","96","73.8","29.5","-1.2","209"
"","Gujarat","12762","13","273.3","80.9","2.8","402"
"","MP","11019","0","221.0","118.4","-2.1","383"
"","Maharashtra","16999","15","352.4","62.8","-0.9","650"
"","Goa","392","0","7.8","8.0","-0.9","4"
"","DD","239","0","5.5","6.0","-0.4","-6"
"","DNH","631","0","14.5","14.9","-0.4","-1"
"","Essar steel","513","0","10.7","10.0","0.7","174"
"SR","Andhra Pradesh","6520","0","131.3","19.0","-2.0","363"
"","Telangana","6258","0","127.0","82.2","-1.6","323"
"","Karnataka","8232","600","174.7","38.3","-1.5","344"
"","Kerala","3296","0","59.7","51.2","1.0","178"
"","Tamil Nadu","11924","0","254.6","105.9","1.1","554"
"","Pondy","288","0","5.9","6.3","-0.4","25"
"ER","Bihar","3356","150","66.3","64.7","-0.7","250"
"","DVC","2489","0","51.8","-16.7","-0.4","80"
"","Jharkhand","1001","140","22.9","11.1","0.3","130"
"","Odisha","3588","0","76.5","20.3","0.0","220"
"","West Bengal","6281","-5","110.2","26.4","2.0","285"
"","Sikkim","84","0","1.4","1.3","0.1","25"
"NER","Arunachal Pradesh","105","2","1.8","1.4","0.4","32"
"","Assam","1256","24","21.0","15.1","1.3","205"
"","Manipur","165","3","2.8","2.7","0.1","50"
"","Meghalaya","281","3","4.8","5.3","-0.7","15"
"","Mizoram","89","4","1.4","1.3","0.0","23"
"","Nagaland","112","6","1.9","1.7","0.2","39"
"","Tripura","205","1","3.1","-0.8","0.6","39"
