"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6588","0","139.9","84.0","-0.1","148"
"","Haryana","5700","0","114.7","89.4","-0.7","151"
"","Rajasthan","7915","0","169.9","49.4","0.8","351"
"","Delhi","4594","0","97.0","79.3","-4.3","148"
"","UP","12534","1990","269.5","134.4","1.7","419"
"","Uttarakhand","1693","75","33.9","19.5","-0.9","130"
"","HP","1114","0","23.2","3.1","1.2","234"
"","J&K","1592","100","31.7","17.6","0.2","163"
"","Chandigarh","295","0","5.6","5.2","0.4","71"
"WR","Chhattisgarh","2784","59","67.8","17.2","-1.7","182"
"","Gujarat","13238","24","287.3","54.5","1.1","958"
"","MP","6994","24","150.6","81.7","-0.2","339"
"","Maharashtra","19187","609","389.3","138.3","4.1","1068"
"","Goa","436","1","9.4","8.0","0.9","91"
"","DD","234","1","4.9","5.1","-0.2","45"
"","DNH","650","2","14.7","14.7","0.1","30"
"","Essar steel","429","2","9.1","8.6","0.5","85"
"SR","Andhra Pradesh","4796","200","106.9","44.9","-46.1","250"
"","Telangana","4833","200","143.7","44.7","37.9","441"
"","Karnataka","5403","0","153.8","19.3","-2.5","389"
"","Kerala","2857","750","61.5","31.1","2.4","307"
"","Tamil Nadu","11435","0","270.9","79.4","-3.8","939"
"","Pondy","324","0","7.0","6.8","0.2","89"
"ER","Bihar","2331","300","45.5","43.0","-0.1","100"
"","DVC","2462","0","49.1","-9.2","0.6","250"
"","Jharkhand","1068","0","20.7","12.4","-0.8","40"
"","Odisha","3631","0","77.1","19.9","-1.7","300"
"","West Bengal","6870","15","127.4","31.6","5.1","600"
"","Sikkim","78","0","1.2","1.0","0.2","25"
"NER","Arunachal Pradesh","103","8","1.7","1.3","0.4","36"
"","Assam","1152","219","21.7","14.0","3.4","177"
"","Manipur","116","10","1.5","1.5","0.0","24"
"","Meghalaya","240","23","3.8","2.0","-0.6","51"
"","Mizoram","72","3","1.0","1.0","-0.2","18"
"","Nagaland","95","6","1.4","1.5","-0.4","30"
"","Tripura","222","17","2.8","0.9","-0.4","45"
