"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5396","0","115.4","54.8","-0.4","316"
"","Haryana","6796","0","123.8","87.7","-0.3","260"
"","Rajasthan","9025","262","197.4","60.6","2.9","268"
"","Delhi","3879","0","76.4","60.7","0.3","160"
"","UP","12574","0","273.1","96.4","-1.7","374"
"","Uttarakhand","1775","0","34.8","21.1","0.7","206"
"","HP","1339","0","24.2","14.7","0.9","94"
"","J&K","1779","445","35.6","29.7","-3.8","57"
"","Chandigarh","194","0","3.6","3.7","-0.1","30"
"WR","Chhattisgarh","3295","0","72.8","11.5","-2.2","131"
"","Gujarat","13329","0","293.0","70.4","-2.0","379"
"","MP","8477","0","189.2","112.1","-1.9","323"
"","Maharashtra","20154","0","440.9","122.1","-3.7","359"
"","Goa","408","0","8.5","7.7","0.3","91"
"","DD","320","0","7.8","6.9","0.3","19"
"","DNH","767","0","17.6","17.9","-0.4","72"
"","Essar steel","336","0","6.9","6.6","0.3","171"
"SR","Andhra Pradesh","7291","0","166.9","19.3","4.4","480"
"","Telangana","7642","0","158.6","93.6","1.5","259"
"","Karnataka","9115","900","204.9","74.3","8.5","792"
"","Kerala","3564","0","66.7","51.7","2.3","248"
"","Tamil Nadu","13966","0","303.7","140.6","2.0","618"
"","Pondy","335","0","7.0","7.4","-0.4","20"
"ER","Bihar","3498","0","67.1","65.1","0.0","150"
"","DVC","2659","0","62.1","-34.9","-0.9","180"
"","Jharkhand","1082","0","22.0","15.1","-0.6","100"
"","Odisha","3843","0","70.6","18.7","-0.4","200"
"","West Bengal","7729","0","137.3","42.8","2.7","210"
"","Sikkim","97","0","1.3","1.4","-0.1","12"
"NER","Arunachal Pradesh","98","1","2.0","1.9","0.2","15"
"","Assam","1506","27","25.4","18.1","2.2","125"
"","Manipur","108","2","2.0","2.1","-0.1","35"
"","Meghalaya","257","13","5.1","1.8","0.8","78"
"","Mizoram","73","2","1.4","1.2","0.2","15"
"","Nagaland","118","1","2.2","1.7","0.5","23"
"","Tripura","253","0","4.1","2.0","2.2","84"
