"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9810","0","220.3","121.8","-0.7","41","0.0"
"","Haryana","8631","0","186.1","143.1","0.4","268","0.0"
"","Rajasthan","10095","0","228.5","74.4","-1.8","297","0.0"
"","Delhi","4733","0","99.3","83.3","-0.8","141","0.0"
"","UP","16888","520","328.4","143.0","0.5","551","0.0"
"","Uttarakhand","1893","0","39.7","14.9","0.8","131","0.0"
"","HP","1473","0","29.8","9.1","0.9","93","0.1"
"","J&K","2091","523","39.8","23.2","-0.4","343","9.5"
"","Chandigarh","255","0","5.3","5.6","-0.3","13","0.0"
"WR","Chhattisgarh","4144","0","98.6","43.3","-0.1","198","0.0"
"","Gujarat","14313","0","320.5","92.1","4.1","502","0.0"
"","MP","7949","0","163.5","70.5","-3.7","207","0.0"
"","Maharashtra","18614","0","403.0","167.8","1.4","822","0.0"
"","Goa","541","0","11.0","11.1","-0.7","49","0.0"
"","DD","337","0","7.5","7.0","0.5","44","0.0"
"","DNH","793","0","18.6","18.8","-0.2","41","0.0"
"","Essar steel","316","0","5.8","5.6","0.2","301","0.0"
"SR","Andhra Pradesh","7273","0","153.1","44.7","0.6","498","0.0"
"","Telangana","8170","0","169.4","35.0","-2.5","338","0.0"
"","Karnataka","8034","0","158.3","46.4","-0.3","496","0.0"
"","Kerala","3463","0","70.2","48.5","1.1","250","0.0"
"","Tamil Nadu","13522","0","282.4","132.2","-0.8","470","0.0"
"","Pondy","367","0","7.5","7.9","-0.5","13","0.0"
"ER","Bihar","5210","0","98.1","96.4","-0.4","90","0.0"
"","DVC","2799","0","61.0","-15.1","1.5","350","0.0"
"","Jharkhand","1119","0","24.1","20.4","-1.6","50","0.0"
"","Odisha","4607","0","95.0","27.5","8.3","570","0.0"
"","West Bengal","7658","0","153.1","52.7","-2.2","200","0.0"
"","Sikkim","90","0","0.9","1.3","-0.4","15","0.0"
"NER","Arunachal Pradesh","101","3","2.0","2.6","-0.6","21","0.0"
"","Assam","1466","41","24.7","20.4","-0.6","90","9.8"
"","Manipur","141","7","2.3","2.4","-0.1","6","0.0"
"","Meghalaya","308","3","5.7","1.2","-0.4","13","0.0"
"","Mizoram","63","4","1.6","0.8","0.5","9","0.0"
"","Nagaland","98","7","2.0","2.3","-0.4","3","0.0"
"","Tripura","246","12","4.2","5.0","-0.9","35","0.0"
