"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5372","0","109.9","36.1","0.9","123","0.0"
"","Haryana","6431","0","122.5","69.5","1.4","203","0.0"
"","Rajasthan","10999","0","209.3","70.1","3.7","411","1.0"
"","Delhi","3809","0","64.8","52.3","-0.9","169","0.0"
"","UP","13363","0","283.9","94.3","-0.3","417","0.0"
"","Uttarakhand","1850","0","35.2","26.7","0.1","104","0.1"
"","HP","1536","2","27.8","23.2","0.8","299","0.0"
"","J&K","2153","538","45.6","41.7","-0.2","107","10.8"
"","Chandigarh","214","0","3.3","3.2","0.1","35","0.0"
"WR","Chhattisgarh","3371","0","71.3","12.9","-1.2","117","0.0"
"","Gujarat","13978","0","305.1","123.3","3.6","430","0.0"
"","MP","9489","0","182.1","87.6","-0.5","356","0.0"
"","Maharashtra","19990","0","418.1","119.2","1.6","329","0.0"
"","Goa","460","0","9.5","8.8","0.2","34","0.0"
"","DD","329","0","7.4","6.8","0.6","72","0.0"
"","DNH","749","0","17.6","16.9","0.7","48","0.0"
"","Essar steel","549","0","11.5","10.8","0.7","216","0.0"
"SR","Andhra Pradesh","8354","0","172.1","53.1","1.2","559","0.0"
"","Telangana","9622","0","195.2","88.6","0.0","440","0.0"
"","Karnataka","9812","0","214.5","97.1","0.0","395","0.0"
"","Kerala","3626","0","72.2","57.5","1.4","203","0.0"
"","Tamil Nadu","14195","0","311.6","171.5","2.2","510","0.0"
"","Pondy","358","0","7.1","7.5","-0.3","32","0.0"
"ER","Bihar","4045","0","69.4","61.0","1.9","400","0.0"
"","DVC","3103","0","69.2","-47.4","-1.0","550","0.0"
"","Jharkhand","1111","0","21.0","15.5","-1.0","100","0.0"
"","Odisha","3993","0","71.0","30.9","3.4","400","0.0"
"","West Bengal","6511","0","119.3","19.4","1.4","400","0.0"
"","Sikkim","91","0","1.2","1.5","-0.3","5","0.0"
"NER","Arunachal Pradesh","116","5","1.4","1.9","-0.5","79","0.0"
"","Assam","1353","66","22.7","19.5","-0.1","100","0.4"
"","Manipur","187","4","2.4","2.6","-0.2","12","0.0"
"","Meghalaya","302","3","6.4","3.2","-0.1","52","0.0"
"","Mizoram","88","1","1.5","0.8","0.2","28","0.0"
"","Nagaland","124","1","2.3","1.9","0.2","66","0.0"
"","Tripura","229","1","4.1","2.1","0.5","45","0.0"
