"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7563","0","169.7","119.8","0.1","145"
"","Haryana","6435","0","132.0","73.0","0.9","277"
"","Rajasthan","6329","281","141.0","56.6","-1.7","243"
"","Delhi","4447","205","92.8","74.2","0.3","376"
"","UP","10237","2220","227.0","122.1","-0.1","331"
"","Uttarakhand","1280","105","33.3","12.7","-1.1","110"
"","HP","1140","14","21.8","0.6","0.1","140"
"","J&K","1483","100","29.6","18.1","-2.1","181"
"","Chandigarh","283","0","5.4","5.6","-0.2","9"
"WR","Chhattisgarh","2607","48","58.3","20.4","0.4","383"
"","Gujarat","10037","628","225.0","67.9","-2.1","502"
"","MP","5114","59","101.7","37.7","1.8","469"
"","Maharashtra","14326","393","314.8","91.3","0.8","326"
"","Goa","384","4","7.7","6.4","0.8","35"
"","DD","265","3","6.4","5.5","1.0","24"
"","DNH","639","7","15.0","13.7","1.2","41"
"","Essar steel","302","3","6.7","6.5","0.1","51"
"SR","Andhra Pradesh","11096","0","256.2","65.2","2.8","255"
"","Karnataka","7550","300","156.4","19.5","-0.8","285"
"","Kerala","3058","150","56.8","20.0","2.2","356"
"","Tamil Nadu","11221","210","254.0","68.4","-4.7","349"
"","Pondy","307","30","6.4","6.4","0.0","44"
"ER","Bihar","1903","200","39.3","38.7","0.7","180"
"","DVC","2423","300","55.4","-22.1","3.5","300"
"","Jharkhand","920","0","17.9","15.2","-2.6","50"
"","Odisha","3657","250","72.1","14.2","-1.2","130"
"","West Bengal","6786","9","129.1","44.8","1.5","240"
"","Sikkim","86","0","1.2","0.7","0.4","19"
"NER","Arunachal Pradesh","97","1","1.3","1.2","0.1","45"
"","Assam","1138","176","22.7","14.2","3.1","200"
"","Manipur","97","5","1.4","1.7","-0.4","22"
"","Meghalaya","252","11","4.4","0.2","0.1","100"
"","Mizoram","54","2","1.0","1.0","0.0","13"
"","Nagaland","92","3","1.4","1.3","0.1","31"
"","Tripura","168","61","3.3","0.9","0.7","51"
