"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5168","0","100.7","45.1","0.2","190"
"","Haryana","5383","0","102.9","66.2","-0.3","466"
"","Rajasthan","8500","0","172.9","72.1","-1.3","157"
"","Delhi","3362","1","55.8","41.2","-2.0","186"
"","UP","9828","1405","215.9","87.8","-3.2","198"
"","Uttarakhand","1622","35","31.5","22.2","1.2","193"
"","HP","1286","0","24.2","18.4","0.6","87"
"","J&K","1907","100","37.4","34.3","-2.2","76"
"","Chandigarh","194","0","3.2","3.3","-0.1","11"
"WR","Chhattisgarh","3145","49","62.8","13.1","-0.1","360"
"","Gujarat","9585","0","235.5","70.2","-1.9","630"
"","MP","4797","0","99.8","39.4","-1.0","288"
"","Maharashtra","13777","28","351.0","105.6","-3.0","624"
"","Goa","375","0","8.4","7.8","0.0","158"
"","DD","184","0","5.4","5.2","0.3","30"
"","DNH","610","0","14.7","14.8","-0.1","19"
"","Essar steel","364","0","7.2","0.0","7.2","37"
"SR","Andhra Pradesh","11629","800","265.2","89.0","7.9","614"
"","Karnataka","8419","650","187.4","21.9","1.6","459"
"","Kerala","3318","75","64.3","30.0","2.3","289"
"","Tamil Nadu","11600","855","254.0","90.2","2.4","406"
"","Pondy","288","0","5.7","5.8","-0.1","32"
"ER","Bihar","2102","300","38.6","37.3","-0.9","200"
"","DVC","2707","0","58.9","-19.8","-0.9","180"
"","Jharkhand","1005","92","20.1","11.3","-0.1","40"
"","Odisha","3519","0","68.2","8.9","3.8","410"
"","West Bengal","6383","7","112.2","18.5","4.2","430"
"","Sikkim","93","0","1.5","1.3","0.2","25"
"NER","Arunachal Pradesh","113","2","1.4","1.3","0.1","38"
"","Assam","1015","146","19.7","12.7","1.8","152"
"","Manipur","113","2","1.5","1.5","0.0","45"
"","Meghalaya","265","17","4.5","3.6","0.0","47"
"","Mizoram","76","2","1.1","0.9","-0.1","18"
"","Nagaland","98","2","1.5","1.6","-0.3","17"
"","Tripura","199","2","2.7","0.6","0.0","49"
