"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9486","0","202.4","111.5","-0.1","136"
"","Haryana","7742","0","162.1","109.2","-0.4","167"
"","Rajasthan","8086","7","183.1","47.8","1.5","231"
"","Delhi","5037","0","103.2","74.5","-2.2","173"
"","UP","11865","2110","259.5","122.7","0.2","327"
"","Uttarakhand","1690","75","37.3","13.2","1.2","128"
"","HP","1193","0","25.1","-0.4","-0.1","86"
"","J&K","1639","100","27.1","16.8","-0.3","131"
"","Chandigarh","305","0","5.8","5.4","0.4","47"
"WR","Chhattisgarh","2968","299","73.6","22.3","3.0","372"
"","Gujarat","13333","107","295.4","42.5","-1.7","495"
"","MP","6615","152","149.6","87.7","-0.2","468"
"","Maharashtra","18610","238","396.3","115.5","0.9","796"
"","Goa","358","48","8.2","7.0","0.8","120"
"","DD","282","2","6.4","6.0","0.4","69"
"","DNH","702","5","15.5","15.4","0.1","41"
"","Essar steel","469","4","10.1","10.6","-0.4","11"
"SR","Andhra Pradesh","5829","900","128.1","26.0","-0.5","447"
"","Telangana","5514","600","121.0","63.6","4.5","458"
"","Karnataka","7883","800","175.4","25.9","1.4","352"
"","Kerala","3187","150","61.6","28.6","1.9","245"
"","Tamil Nadu","13280","0","285.1","83.6","-0.4","340"
"","Pondy","317","0","6.9","6.8","0.1","44"
"ER","Bihar","2159","400","40.6","43.5","-2.9","190"
"","DVC","2388","100","54.3","-14.4","-1.7","40"
"","Jharkhand","1005","0","16.0","10.9","-2.7","110"
"","Odisha","3626","0","69.3","27.0","2.1","250"
"","West Bengal","6571","0","130.5","32.2","1.4","400"
"","Sikkim","74","0","1.3","1.2","0.2","20"
"NER","Arunachal Pradesh","96","7","1.5","1.7","-0.2","21"
"","Assam","1085","316","23.6","15.7","3.6","248"
"","Manipur","117","4","1.6","2.4","-0.8","22"
"","Meghalaya","266","2","4.3","1.2","-0.5","38"
"","Mizoram","69","2","1.1","1.3","-0.4","8"
"","Nagaland","104","2","1.6","2.0","-0.6","64"
"","Tripura","185","43","3.0","1.3","-0.6","31"
