"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10412","0","213.5","124.4","0.0","161","0.0"
"","Haryana","8802","0","181.5","126.5","3.0","352","0.2"
"","Rajasthan","9039","0","196.8","80.4","3.0","320","0.6"
"","Delhi","5493","0","111.7","86.1","1.9","555","0.1"
"","UP","16750","190","315.5","151.2","0.6","930","0.0"
"","Uttarakhand","1705","0","36.7","8.4","1.7","257","0.0"
"","HP","1282","0","26.6","-1.8","2.8","229","0.0"
"","J&K","1679","420","33.8","21.5","-4.7","127","8.0"
"","Chandigarh","308","0","6.0","6.6","-0.6","3","0.0"
"WR","Chhattisgarh","3352","0","80.3","14.5","-0.5","195","0.0"
"","Gujarat","12230","0","268.5","58.8","-1.7","406","0.0"
"","MP","7232","0","156.0","92.9","-1.5","280","0.0"
"","Maharashtra","18433","0","409.5","121.0","4.0","458","0.0"
"","Goa","431","0","9.5","8.4","0.5","73","0.0"
"","DD","296","0","6.7","6.3","0.4","46","0.0"
"","DNH","696","0","16.2","16.2","-0.1","13","0.0"
"","Essar steel","470","0","8.6","8.2","0.4","214","0.0"
"SR","Andhra Pradesh","6903","0","153","44","7","1110","0.0"
"","Telangana","7233","0","148","99","1","388","0.0"
"","Karnataka","8405","0","182","74","2","485","0.0"
"","Kerala","3279","0","64","47","1","228","0.0"
"","Tamil Nadu","13842","0","304","113","2","822","0.0"
"","Pondy","360","0","8","8","0","24","0.0"
"ER","Bihar","3975","0","72.3","69.3","1.3","300","0.0"
"","DVC","2809","0","63.2","-39.0","-0.4","120","0.0"
"","Jharkhand","1204","0","22.0","15.6","0.0","200","0.0"
"","Odisha","3938","0","82.6","28.6","2.6","300","0.0"
"","West Bengal","7800","0","142.8","38.6","1.5","310","0.0"
"","Sikkim","68","0","1.1","1.3","-0.2","4","0.0"
"NER","Arunachal Pradesh","105","2","2.4","2.9","-0.5","6","0.0"
"","Assam","1675","26","31.4","22.1","5.4","116","1.3"
"","Manipur","131","5","2.0","2.1","-0.1","7","0.0"
"","Meghalaya","229","0","6.0","-1.1","1.1","35","0.0"
"","Mizoram","70","1","1.3","1.1","0.1","23","0.0"
"","Nagaland","105","1","2.1","2.0","0.0","18","0.0"
"","Tripura","251","1","2.6","2.7","-1.4","23","0.0"
