"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3732","0","74.0","59.0","-1.3","51","0.0"
"","Haryana","4089","0","73.8","69.5","2.2","408","0.0"
"","Rajasthan","8106","0","150.6","59.0","-0.7","319","0.0"
"","Delhi","2226","0","47.5","37.1","-1.8","40","0.0"
"","UP","14745","0","252.4","113.0","0.9","1165","0.0"
"","Uttarakhand","1035","0","19.7","5.8","0.1","83","0.0"
"","HP","815","0","13.1","1.3","-0.4","64","0.0"
"","J&K(UT) & Ladakh(UT)","2016","356","41.2","33.6","-2.6","347","9.6"
"","Chandigarh","126","0","2.3","2.2","0.1","39","0.0"
"WR","Chhattisgarh","3235","0","77.2","21.4","1.4","204","0.0"
"","Gujarat","10779","0","243.8","83.7","3.6","481","0.0"
"","MP","8770","0","171.8","109.2","-0.8","403","0.0"
"","Maharashtra","17642","0","383.2","167.3","-0.4","604","0.0"
"","Goa","353","0","7.2","7.4","-0.2","34","0.0"
"","DD","83","0","1.8","1.8","0.0","30","0.0"
"","DNH","91","0","2.0","2.0","0.0","26","0.0"
"","Essar steel","180","0","0.6","0.5","0.1","109","0.0"
"SR","Andhra Pradesh","6391","0","130.6","69.2","-1.6","619","0.0"
"","Telangana","8042","0","167.8","74.8","0.4","483","0.0"
"","Karnataka","9800","0","186.6","60.5","-0.7","429","0.0"
"","Kerala","3304","0","64.2","49.6","0.8","256","0.0"
"","Tamil Nadu","10362","0","224.4","165.3","-1.3","494","0.0"
"","Puducherry","221","0","4.6","5.4","-0.8","34","0.0"
"ER","Bihar","4405","0","82.8","81.3","0.3","341","0.0"
"","DVC","1553","0","29.1","-25.8","1.0","393","0.0"
"","Jharkhand","1273","0","21.0","13.1","-1.0","164","0.0"
"","Odisha","3111","0","63.0","3.0","-0.4","278","0.0"
"","West Bengal","6425","0","124.2","34.3","0.3","368","0.0"
"","Sikkim","85","0","1.0","1.6","-0.5","4","0.0"
"NER","Arunachal Pradesh","85","1","2.0","1.0","0.9","107","0.0"
"","Assam","1281","50","18.2","16.1","-0.5","78","2.8"
"","Manipur","191","1","2.8","2.3","0.5","24","0.0"
"","Meghalaya","248","0","3.3","3.2","-0.3","52","0.1"
"","Mizoram","104","1","1.6","1.4","0.0","42","0.0"
"","Nagaland","101","1","2.2","2.0","0.1","9","0.0"
"","Tripura","256","3","3.4","3.9","-0.5","128","0.0"
