"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8551","0","190.7","119.3","1.0","231"
"","Haryana","7162","225","161.5","83.4","0.9","182"
"","Rajasthan","7341","256","165.9","54.6","-3.0","201"
"","Delhi","4229","0","91.8","70.6","-2.3","203"
"","UP","9792","2100","212.9","115.9","-5.8","92"
"","Uttarakhand","1433","250","31.1","12.1","0.6","95"
"","HP","1176","7","24.2","0.5","-0.3","42"
"","J&K","1579","100","30.0","16.7","-0.3","381"
"","Chandigarh","253","0","5.1","5.8","-0.6","0"
"WR","Chhattisgarh","2771","258","61.2","23.3","-1.1","272"
"","Gujarat","11296","95","247.9","72.5","-1.0","991"
"","MP","5891","29","117.0","34.4","-0.8","345"
"","Maharashtra","16096","657","340.2","107.0","6.4","739"
"","Goa","402","2","7.9","7.8","-0.2","144"
"","DD","264","1","6.3","6.3","0.0","38"
"","DNH","640","3","15.2","15.0","0.2","51"
"","Essar steel","354","2","7.7","7.5","0.2","51"
"SR","Andhra Pradesh","11717","0","261.0","84.6","0.1","346"
"","Karnataka","7712","300","166.1","19.4","0.2","139"
"","Kerala","3073","150","58.0","26.8","0.8","186"
"","Tamil Nadu","10613","1098","226.3","68.2","2.2","323"
"","Pondy","307","0","6.6","6.9","-0.2","23"
"ER","Bihar","2153","0","39.8","39.4","0.4","70"
"","DVC","2568","200","56.2","-20.8","-1.2","220"
"","Jharkhand","899","0","20.1","13.5","-0.4","70"
"","Odisha","3496","0","68.3","20.0","-2.3","75"
"","West Bengal","6803","0","131.1","37.5","5.9","410"
"","Sikkim","74","0","1.2","0.9","0.3","25"
"NER","Arunachal Pradesh","85","11","1.4","1.4","0.0","31"
"","Assam","1140","173","23.1","14.0","3.5","195"
"","Manipur","113","2","1.4","1.9","-0.4","16"
"","Meghalaya","259","13","4.7","0.1","0.1","90"
"","Mizoram","54","1","1.0","1.1","-0.1","7"
"","Nagaland","96","4","1.5","1.4","-0.2","29"
"","Tripura","172","48","3.1","1.1","0.3","63"
