"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10528","0","242.1","124.3","0.3","223"
"","Haryana","8612","109","184.1","130.6","-0.4","311"
"","Rajasthan","9108","0","199.7","58.4","1.0","270"
"","Delhi","5905","0","120.2","105.2","-1.8","486"
"","UP","14370","850","315.7","156.5","1.6","468"
"","Uttarakhand","1913","75","39.9","19.9","1.1","189"
"","HP","1312","0","17.3","5.8","1.5","143"
"","J&K","1740","435","34.4","20.0","-4.0","140"
"","Chandigarh","322","0","6.6","6.2","0.3","50"
"WR","Chhattisgarh","3056","0","72.9","21.0","3.8","650"
"","Gujarat","13681","0","298.5","75.4","-2.5","358"
"","MP","6646","0","136.6","104.9","0.0","271"
"","Maharashtra","16171","0","353.5","104.0","-5.3","752"
"","Goa","436","0","8.5","8.1","-0.3","-5"
"","DD","303","0","6.8","6.6","0.2","41"
"","DNH","750","0","17.2","17.5","-0.4","15"
"","Essar steel","491","0","10.1","8.5","1.6","373"
"SR","Andhra Pradesh","5684","0","132.1","6.9","-3.7","348"
"","Telangana","5648","0","120.8","71.8","-0.5","288"
"","Karnataka","6794","0","143.9","49.4","0.6","555"
"","Kerala","3122","0","52.2","41.9","-3.3","253"
"","Tamil Nadu","12721","0","275.8","110.8","4.0","722"
"","Pondy","313","0","6.6","7.2","-0.6","12"
"ER","Bihar","3418","100","67.0","65.0","-0.3","230"
"","DVC","2691","0","61.2","-26.5","0.4","180"
"","Jharkhand","1043","0","19.7","16.6","-0.9","100"
"","Odisha","4065","0","79.9","28.8","1.2","210"
"","West Bengal","7985","0","160.6","46.9","1.5","300"
"","Sikkim","90","0","1.3","1.0","0.3","25"
"NER","Arunachal Pradesh","99","5","1.8","2.2","-0.4","23"
"","Assam","1481","78","27.5","20.6","3.2","303"
"","Manipur","146","5","2.0","2.2","-0.2","31"
"","Meghalaya","289","0","5.2","0.0","0.8","83"
"","Mizoram","73","3","1.2","1.0","0.1","28"
"","Nagaland","98","5","1.7","1.8","-0.2","22"
"","Tripura","255","2","4.2","3.6","0.8","71"
