"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8226","615","188.5","125.9","0.2","128"
"","Haryana","7446","0","163.4","105.4","1.7","281"
"","Rajasthan","6096","0","148.3","54.6","-5.5","78"
"","Delhi","4649","75","103.5","71.8","2.5","361"
"","UP","11689","1820","255.1","132.0","-3.0","243"
"","Uttarakhand","1341","155","29.8","14.7","-0.3","68"
"","HP","1139","63","23.7","-0.9","-0.1","182"
"","J&K","1575","100","29.6","16.1","-0.3","212"
"","Chandigarh","274","0","5.6","5.7","-0.1","30"
"WR","Chhattisgarh","2780","35","58.8","24.8","1.2","272"
"","Gujarat","8980","55","192.6","44.3","2.3","623"
"","MP","5704","18","116.3","35.1","-1.3","298"
"","Maharashtra","14147","95","307.5","97.0","10.0","698"
"","Goa","397","1","7.9","6.6","0.9","159"
"","DD","260","1","6.1","5.5","0.6","75"
"","DNH","640","2","15.1","14.3","0.8","51"
"","Essar steel","424","23","9.1","6.7","2.4","130"
"SR","Andhra Pradesh","10841","0","245.4","63.9","2.1","394"
"","Karnataka","6544","850","138.2","21.1","-1.6","294"
"","Kerala","2708","150","49.2","15.6","0.0","297"
"","Tamil Nadu","10970","579","239.0","62.0","-0.3","381"
"","Pondy","297","30","6.2","6.3","-0.1","39"
"ER","Bihar","1912","300","38.6","41.4","-2.8","180"
"","DVC","2621","0","58.0","-24.3","-0.3","170"
"","Jharkhand","1025","0","19.6","16.2","-1.5","140"
"","Odisha","3523","200","67.7","17.0","0.4","160"
"","West Bengal","6596","25","128.6","46.5","0.8","380"
"","Sikkim","68","0","0.6","1.0","-0.4","12"
"NER","Arunachal Pradesh","102","3","1.1","1.5","-0.4","44"
"","Assam","1045","208","19.3","15.7","-1.9","50"
"","Manipur","102","8","1.3","1.9","-0.6","21"
"","Meghalaya","244","5","4.1","0.6","-0.4","91"
"","Mizoram","54","1","1.0","1.1","-0.1","8"
"","Nagaland","95","3","1.4","1.1","-0.1","34"
"","Tripura","185","37","3.3","1.0","0.6","69"
