"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","4985","0","105.6","81.4","-0.6","122","0.0"
"","Haryana","5856","0","117.4","85.6","1.0","207","0.0"
"","Rajasthan","12017","0","210.3","52.8","-0.7","264","0.0"
"","Delhi","3451","0","63.4","47.8","-0.5","190","0.0"
"","UP","14592","0","263.0","116.9","1.4","1256","0.0"
"","Uttarakhand","1764","0","34.4","13.5","1.2","202","0.0"
"","HP","1502","0","21.5","17.3","-0.5","169","0.0"
"","J&K(UT) & Ladakh(UT)","2393","598","47.3","38.5","0.8","421","9.3"
"","Chandigarh","183","0","3.1","3.3","-0.2","4","0.0"
"WR","Chhattisgarh","3864","0","83.6","31.7","-1.5","242","0.0"
"","Gujarat","16538","0","362.3","84.3","3.6","506","0.0"
"","MP","9946","0","195.1","106.8","-2.0","579","0.0"
"","Maharashtra","22672","0","478.2","150.6","-1.1","612","0.0"
"","Goa","497","0","10.5","10.4","-0.3","39","0.0"
"","DD","333","0","7.5","7.1","0.4","35","0.0"
"","DNH","800","0","18.9","19.1","-0.2","42","0.0"
"","Essar steel","827","0","5.3","5.1","0.2","253","0.0"
"SR","Andhra Pradesh","9896","0","198.5","97.2","0.5","667","0.0"
"","Telangana","11708","0","236.7","131.1","1.3","897","0.0"
"","Karnataka","12885","0","251.1","81.5","0.0","721","0.0"
"","Kerala","4074","0","84.5","59.5","1.9","213","0.0"
"","Tamil Nadu","15304","0","348.3","212.1","0.9","667","0.0"
"","Puducherry","394","0","8.5","8.6","-0.1","33","0.0"
"ER","Bihar","4102","0","75.2","70.7","0.9","510","0.0"
"","DVC","3275","0","62.9","-40.5","0.6","220","0.0"
"","Jharkhand","1212","0","22.9","14.5","-1.1","110","0.0"
"","Odisha","3688","0","64.8","-10.5","0.8","320","0.0"
"","West Bengal","7282","0","140.2","38.6","2.3","230","0.0"
"","Sikkim","102","0","1.3","1.8","-0.5","20","0.0"
"NER","Arunachal Pradesh","123","1","2.3","2.2","0.0","24","0.0"
"","Assam","1417","30","24.2","20.8","0.0","110","0.4"
"","Manipur","187","1","2.9","2.6","0.4","30","0.0"
"","Meghalaya","325","0","5.8","4.0","0.4","43","0.1"
"","Mizoram","97","1","1.8","1.4","0.1","26","0.0"
"","Nagaland","110","1","2.1","2.0","0.0","3","0.0"
"","Tripura","240","1","3.9","2.7","-0.4","43","0.0"
