"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5656","0","109.4","58.2","-1.2","112","0.0"
"","Haryana","6515","0","120.7","91.8","0.4","229","0.5"
"","Rajasthan","12191","0","223.2","61.8","2.1","593","0.0"
"","Delhi","4162","0","70.2","56.2","-1.6","235","0.0"
"","UP","14136","55","263.3","106.2","0.7","783","0.0"
"","Uttarakhand","2021","0","39.3","21.7","0.9","170","0.3"
"","HP","1703","0","31.5","23.0","1.2","312","0.0"
"","J&K(UT) and Ladakh(UT)","2551","638","50.2","42.8","2.1","463","11.9"
"","Chandigarh","256","0","4.4","4.2","0.3","44","0.0"
"WR","Chhattisgarh","3461","0","76.2","17.9","0.0","271","0.0"
"","Gujarat","14780","0","316.4","89.4","0.4","793","0.0"
"","MP","12056","0","224.1","109.9","-2.9","412","0.0"
"","Maharashtra","21743","0","444.6","132.8","-0.2","435","0.0"
"","Goa","580","0","12.4","11.7","0.1","34","0.1"
"","DD","330","0","7.4","6.9","0.5","48","0.0"
"","DNH","814","0","18.8","18.8","0.1","46","0.0"
"","Essar steel","308","0","5.8","6.0","-0.2","238","0.0"
"SR","Andhra Pradesh","7831","0","160.2","68.3","0.3","571","0.0"
"","Telangana","10429","0","211.7","109.7","0.8","534","0.0"
"","Karnataka","10941","0","196.4","36.7","-0.4","505","0.0"
"","Kerala","3541","0","69.8","55.7","1.4","283","0.0"
"","Tamil Nadu","13471","0","270.6","140.1","-0.3","601","0.0"
"","Pondy","360","0","7.1","7.5","-0.3","21","0.0"
"ER","Bihar","3991","0","71.0","67.7","1.7","150","0.0"
"","DVC","3123","0","63.7","-33.7","0.1","100","0.0"
"","Jharkhand","1272","0","23.9","15.7","-1.2","50","0.0"
"","Odisha","3712","0","69.3","13.6","-0.7","180","0.0"
"","West Bengal","6188","0","111.2","34.7","2.7","380","0.0"
"","Sikkim","121","0","1.8","1.6","0.2","25","0.0"
"NER","Arunachal Pradesh","120","2","2.1","1.7","0.2","60","0.0"
"","Assam","1379","18","22.0","17.8","0.1","124","0.2"
"","Manipur","203","1","2.6","2.9","-0.3","42","0.0"
"","Meghalaya","347","0","6.0","2.9","0.4","80","0.0"
"","Mizoram","101","1","1.8","1.1","0.1","39","0.0"
"","Nagaland","128","2","2.2","2.3","-0.3","16","0.0"
"","Tripura","227","4","3.5","1.6","-0.4","28","0.0"
