"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6093","0","116.9","53.0","0.5","135"
"","Haryana","5958","110","117.4","103.3","0.0","0"
"","Rajasthan","8563","0","183.3","49.2","0.5","224"
"","Delhi","3409","0","65.8","53.9","0.4","192"
"","UP","13148","0","281.0","108.6","0.1","225"
"","Uttarakhand","1799","0","34.1","23.4","1.4","167"
"","HP","1432","0","24.7","17.1","1.6","279"
"","J&K","2024","506","41.9","34.6","1.0","213"
"","Chandigarh","184","0","3.4","3.3","0.1","16"
"WR","Chhattisgarh","3643","0","86.0","21.5","-1.0","121"
"","Gujarat","13878","0","309.4","115.0","1.8","469"
"","MP","8352","0","169.5","110.6","-0.5","400"
"","Maharashtra","21916","0","471.6","153.4","-1.3","405"
"","Goa","490","0","10.1","8.8","0.6","107"
"","DD","324","0","7.3","6.3","1.0","86"
"","DNH","738","0","16.8","17.0","-0.2","12"
"","Essar steel","490","0","10.2","10.2","-0.1","152"
"SR","Andhra Pradesh","7299","0","166.1","18.9","1.4","621"
"","Telangana","8715","0","181.4","83.4","0.4","248"
"","Karnataka","9963","0","219.5","82.0","4.0","575"
"","Kerala","3685","0","71.9","55.6","2.0","275"
"","Tamil Nadu","14497","0","316.2","169.3","1.3","544"
"","Pondy","344","0","7.3","7.6","-0.3","42"
"ER","Bihar","3761","0","62.8","58.2","0.5","250"
"","DVC","3090","0","61.3","-42.0","-0.9","200"
"","Jharkhand","1110","0","23.5","16.1","1.4","145"
"","Odisha","3944","0","77.8","23.9","0.7","260"
"","West Bengal","7324","0","124.4","27.8","1.4","285"
"","Sikkim","90","0","1.6","1.6","0.1","21"
"NER","Arunachal Pradesh","132","1","2.0","1.8","0.2","31"
"","Assam","1373","27","21.8","16.3","2.2","318"
"","Manipur","140","3","2.1","2.2","-0.1","41"
"","Meghalaya","326","0","6.0","3.4","-0.4","88"
"","Mizoram","82","1","1.4","1.2","0.2","33"
"","Nagaland","94","2","1.8","1.5","0.2","19"
"","Tripura","216","0","3.3","1.0","0.5","121"
