"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10107","0","217.0","113.9","-1.6","120"
"","Haryana","7684","253","160.4","118.7","-3.1","117"
"","Rajasthan","8324","0","180.3","71.0","0.3","158"
"","Delhi","5311","6","110.4","88.6","-0.7","276"
"","UP","12762","2775","294.2","132.2","-2.2","305"
"","Uttarakhand","1839","40","41.2","20.2","1.9","202"
"","HP","1276","0","27.1","6.0","0.7","98"
"","J&K","1849","462","36.5","20.7","0.5","283"
"","Chandigarh","333","0","6.5","6.5","0.3","28"
"WR","Chhattisgarh","3218","0","70.3","21.4","-1.3","364"
"","Gujarat","12723","0","271.0","57.0","-1.2","459"
"","MP","6314","0","131.8","86.5","-0.5","426"
"","Maharashtra","16143","39","351.6","98.4","-2.7","922"
"","Goa","365","0","8.6","7.5","0.4","13"
"","DD","288","0","6.5","6.4","0.1","42"
"","DNH","706","0","16.3","16.2","1.0","46"
"","Essar steel","444","0","9.5","8.5","1.0","133"
"SR","Andhra Pradesh","5249","0","123.5","17.1","4.4","452"
"","Telangana","5353","143","109.2","77.8","-2.4","301"
"","Karnataka","7421","200","153.9","26.5","0.3","200"
"","Kerala","3078","0","56.2","44.2","0.7","200"
"","Tamil Nadu","12290","0","270.5","111.8","-2.0","325"
"","Pondy","299","0","6.4","6.7","-0.3","39"
"ER","Bihar","2812","0","64.7","61.0","3.7","250"
"","DVC","2660","0","62.8","-14.7","3.8","510"
"","Jharkhand","1014","0","22.4","12.5","0.1","200"
"","Odisha","3659","0","74.5","19.5","-0.1","180"
"","West Bengal","7228","0","142.0","47.8","-0.3","380"
"","Sikkim","87","0","1.1","1.0","0.1","25"
"NER","Arunachal Pradesh","83","1","1.0","1.5","-0.5","42"
"","Assam","1324","67","25.0","17.1","2.1","246"
"","Manipur","119","1","1.7","2.1","-0.5","37"
"","Meghalaya","268","2","4.3","0.6","-0.5","128"
"","Mizoram","76","1","1.1","1.0","0.1","21"
"","Nagaland","109","1","1.6","1.5","0.1","34"
"","Tripura","221","18","3.5","1.2","0.7","90"
