"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4303","0","85.5","39.4","-0.2","93"
"","Haryana","5151","0","89.7","56.6","-1.9","170"
"","Rajasthan","8022","0","170.9","65.7","-2.5","129"
"","Delhi","3086","0","61.8","46.1","0.4","237"
"","UP","11176","1298","242.2","108.0","-1.4","536"
"","Uttarakhand","1559","35","32.4","21.4","2.0","205"
"","HP","1294","0","24.9","14.5","0.0","63"
"","J&K","1511","100","32.6","25.0","-1.7","63"
"","Chandigarh","173","0","3.3","3.3","0.0","15"
"WR","Chhattisgarh","3353","227","78.3","23.7","2.0","351"
"","Gujarat","11942","8","265.0","69.2","-4.4","325"
"","MP","6883","12","147.2","71.9","-0.5","211"
"","Maharashtra","18801","295","406.5","132.1","4.1","527"
"","Goa","416","1","8.9","7.6","0.6","56"
"","DD","264","0","6.2","6.0","0.3","21"
"","DNH","609","1","14.3","13.6","0.8","35"
"","Essar steel","576","1","11.5","12.3","-0.8","102"
"SR","Andhra Pradesh","12194","1000","283.6","96.6","5.1","427"
"","Karnataka","8918","800","203.2","21.8","1.2","302"
"","Kerala","3585","0","68.0","31.5","1.6","208"
"","Tamil Nadu","12281","1326","273.2","97.6","1.2","654"
"","Pondy","311","0","6.2","6.5","-0.3","23"
"ER","Bihar","2164","0","42.1","39.2","0.4","90"
"","DVC","2480","0","56.1","-5.2","0.0","280"
"","Jharkhand","980","0","20.5","11.6","0.1","80"
"","Odisha","3959","0","83.1","18.0","0.6","220"
"","West Bengal","7124","0","139.5","37.9","1.8","210"
"","Sikkim","81","0","1.1","1.3","-0.2","8"
"NER","Arunachal Pradesh","107","3","1.6","1.3","0.2","33"
"","Assam","1055","144","19.6","12.0","2.4","190"
"","Manipur","111","4","1.6","1.5","0.0","34"
"","Meghalaya","258","2","3.7","3.1","-0.1","70"
"","Mizoram","71","4","1.1","1.0","-0.1","27"
"","Nagaland","92","8","1.6","1.5","-0.2","17"
"","Tripura","240","1","2.9","0.0","0.4","80"
