"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5109","0","96.3","24.2","0.1","164","0.0"
"","Haryana","6404","0","119.4","65.9","9.4","544","0.0"
"","Rajasthan","11033","0","203.5","64.4","3.0","376","0.0"
"","Delhi","3305","0","58.6","44.9","-1.0","132","0.0"
"","UP","11812","125","267.6","85.1","0.1","339","0.3"
"","Uttarakhand","1869","0","34.6","17.7","1.2","226","0.0"
"","HP","1441","0","26.3","19.3","0.8","110","0.0"
"","J&K","2082","521","42.6","39.2","-1.3","68","10.1"
"","Chandigarh","178","0","3.1","3.2","-0.1","20","0.0"
"WR","Chhattisgarh","3211","0","68.3","4.6","-1.5","126","0.0"
"","Gujarat","14101","0","305.1","91.2","3.2","496","0.0"
"","MP","11626","0","231.0","156.1","1.1","409","0.0"
"","Maharashtra","20248","0","419.1","147.1","0.4","589","0.0"
"","Goa","402","0","9.1","8.4","0.1","38","0.0"
"","DD","320","0","7.2","6.2","1.0","101","0.0"
"","DNH","745","0","17.3","16.2","1.1","82","0.0"
"","Essar steel","488","0","10.0","9.7","0.2","193","0.0"
"SR","Andhra Pradesh","7761","0","166.3","68.1","0.8","540","0.0"
"","Telangana","6728","0","144.5","60.1","-3.3","293","0.0"
"","Karnataka","9372","0","199.6","96.6","-0.6","508","0.0"
"","Kerala","3433","0","68.9","53.6","1.4","339","0.0"
"","Tamil Nadu","13748","0","293.6","173.7","1.3","435","0.0"
"","Pondy","335","0","6.9","7.4","-0.5","23","0.0"
"ER","Bihar","3583","0","58.6","52.0","0.7","70","0.0"
"","DVC","3090","0","66.0","-30.4","-0.7","300","0.0"
"","Jharkhand","1260","0","22.4","14.5","0.7","250","0.0"
"","Odisha","3753","0","65.8","29.9","2.7","320","0.0"
"","West Bengal","6335","0","102.8","19.2","2.7","245","0.0"
"","Sikkim","111","0","1.6","1.4","0.2","23","0.0"
"NER","Arunachal Pradesh","121","6","2.2","1.8","0.4","43","0.0"
"","Assam","1425","44","23.7","17.6","2.8","268","0.5"
"","Manipur","169","3","2.1","2.5","-0.3","35","0.0"
"","Meghalaya","314","0","5.5","2.9","-0.5","40","0.0"
"","Mizoram","105","5","1.3","0.8","0.4","45","0.0"
"","Nagaland","95","8","1.9","1.5","0.0","28","0.0"
"","Tripura","191","2","3.3","1.6","-0.1","57","0.0"
