"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6116","0","109.7","65.3","-3.1","368"
"","Haryana","7120","0","127.8","97.9","-2.8","390"
"","Rajasthan","9266","0","200.1","76.1","4.1","337"
"","Delhi","5453","0","109.7","88.5","-0.8","218"
"","UP","16534","90","342.6","144.8","0.0","402"
"","Uttarakhand","1798","0","35.1","19.5","-1.6","190"
"","HP","1129","0","22.3","1.9","1.4","389"
"","J&K","1877","469","30.2","14.7","-4.1","161"
"","Chandigarh","242","0","4.9","5.7","-0.8","12"
"WR","Chhattisgarh","4074","0","91.4","34.8","-0.9","272"
"","Gujarat","15461","0","339.5","74.1","-0.4","395"
"","MP","8443","0","184.4","108.1","2.0","630"
"","Maharashtra","21799","0","486.8","163.9","1.5","730"
"","Goa","479","0","10.8","9.4","0.7","78"
"","DD","301","0","5.9","5.8","0.2","27"
"","DNH","764","0","17.2","16.4","0.9","51"
"","Essar steel","474","0","9.7","9.7","0.0","203"
"SR","Andhra Pradesh","7582","0","164.0","29.2","3.8","723"
"","Telangana","7792","0","163.0","68.3","-3.7","446"
"","Karnataka","9168","0","205.1","71.1","3.6","386"
"","Kerala","3670","0","73.6","55.0","1.8","280"
"","Tamil Nadu","14270","0","316.2","144.1","1.9","886"
"","Pondy","356","0","7.5","7.8","-0.3","37"
"ER","Bihar","3691","100","69.0","67.0","1.2","365"
"","DVC","2805","0","66.2","-34.9","0.1","305"
"","Jharkhand","1265","0","23.8","16.9","1.0","165"
"","Odisha","4337","0","81.8","24.7","-1.1","356"
"","West Bengal","7395","0","133.2","36.3","-4.1","325"
"","Sikkim","65","0","1.0","1.5","-0.4","20"
"NER","Arunachal Pradesh","92","1","2.1","1.7","0.3","35"
"","Assam","1378","7","21.7","16.2","1.9","185"
"","Manipur","139","3","2.3","2.2","0.1","19"
"","Meghalaya","228","0","4.1","2.8","-0.6","21"
"","Mizoram","75","3","1.2","1.1","0.0","25"
"","Nagaland","107","2","1.8","1.8","-0.2","14"
"","Tripura","157","26","3.9","1.8","0.2","47"
